region,year,weather_year,time_index,load_mw
p10,2030,2012,1,19172.0
p10,2030,2012,2,18477.0
p10,2030,2012,3,17439.0
p10,2030,2012,4,16857.0
p10,2030,2012,5,16363.0
p10,2030,2012,6,15818.0
p10,2030,2012,7,15459.0
p10,2030,2012,8,15492.0
p10,2030,2012,9,15699.0
p10,2030,2012,10,15983.0
p10,2030,2012,11,16156.0
p10,2030,2012,12,16946.0
p10,2030,2012,13,17499.0
p10,2030,2012,14,17782.0
p10,2030,2012,15,17488.0
p10,2030,2012,16,17031.0
p10,2030,2012,17,16844.0
p10,2030,2012,18,16495.0
p10,2030,2012,19,16446.0
p10,2030,2012,20,16965.0
p10,2030,2012,21,18976.0
p10,2030,2012,22,19302.0
p10,2030,2012,23,19137.0
p10,2030,2012,24,18752.0
p10,2030,2012,25,18202.0
p10,2030,2012,26,17336.0
p10,2030,2012,27,16484.0
p10,2030,2012,28,16489.0
p10,2030,2012,29,16323.0
p10,2030,2012,30,16019.0
p10,2030,2012,31,15623.0
p10,2030,2012,32,15945.0
p10,2030,2012,33,16616.0
p10,2030,2012,34,17360.0
p10,2030,2012,35,17942.0
p10,2030,2012,36,18574.0
p10,2030,2012,37,19013.0
p10,2030,2012,38,19665.0
p10,2030,2012,39,19647.0
p10,2030,2012,40,19140.0
p10,2030,2012,41,18708.0
p10,2030,2012,42,18569.0
p10,2030,2012,43,18512.0
p10,2030,2012,44,19006.0
p10,2030,2012,45,20789.0
p10,2030,2012,46,21319.0
p10,2030,2012,47,21092.0
p10,2030,2012,48,20575.0
p10,2030,2012,49,19718.0
p10,2030,2012,50,18440.0
p10,2030,2012,51,17173.0
p10,2030,2012,52,16344.0
p10,2030,2012,53,16093.0
p10,2030,2012,54,15794.0
p10,2030,2012,55,15559.0
p10,2030,2012,56,15993.0
p10,2030,2012,57,17116.0
p10,2030,2012,58,18628.0
p10,2030,2012,59,19503.0
p10,2030,2012,60,19880.0
p10,2030,2012,61,20224.0
p10,2030,2012,62,20673.0
p10,2030,2012,63,20638.0
p10,2030,2012,64,20160.0
p10,2030,2012,65,19998.0
p10,2030,2012,66,19744.0
p10,2030,2012,67,19405.0
p10,2030,2012,68,19669.0
p10,2030,2012,69,21265.0
p10,2030,2012,70,21664.0
p10,2030,2012,71,21376.0
p10,2030,2012,72,20793.0
p10,2030,2012,73,19912.0
p10,2030,2012,74,18680.0
p10,2030,2012,75,17436.0
p10,2030,2012,76,16840.0
p10,2030,2012,77,16601.0
p10,2030,2012,78,16289.0
p10,2030,2012,79,16029.0
p10,2030,2012,80,16436.0
p10,2030,2012,81,17477.0
p10,2030,2012,82,19079.0
p10,2030,2012,83,19854.0
p10,2030,2012,84,20120.0
p10,2030,2012,85,20421.0
p10,2030,2012,86,20824.0
p10,2030,2012,87,20733.0
p10,2030,2012,88,20239.0
p10,2030,2012,89,20080.0
p10,2030,2012,90,19809.0
p10,2030,2012,91,19701.0
p10,2030,2012,92,19935.0
p10,2030,2012,93,21425.0
p10,2030,2012,94,21728.0
p10,2030,2012,95,21372.0
p10,2030,2012,96,20773.0
p10,2030,2012,97,19785.0
p10,2030,2012,98,18497.0
p10,2030,2012,99,17297.0
p10,2030,2012,100,16686.0
p10,2030,2012,101,16375.0
p10,2030,2012,102,16065.0
p10,2030,2012,103,15746.0
p10,2030,2012,104,16183.0
p10,2030,2012,105,17151.0
p10,2030,2012,106,18835.0
p10,2030,2012,107,19554.0
p10,2030,2012,108,19926.0
p10,2030,2012,109,20253.0
p10,2030,2012,110,20645.0
p10,2030,2012,111,20646.0
p10,2030,2012,112,20268.0
p10,2030,2012,113,20079.0
p10,2030,2012,114,19834.0
p10,2030,2012,115,19663.0
p10,2030,2012,116,19768.0
p10,2030,2012,117,21244.0
p10,2030,2012,118,21580.0
p10,2030,2012,119,21214.0
p10,2030,2012,120,20615.0
p10,2030,2012,121,19803.0
p10,2030,2012,122,18587.0
p10,2030,2012,123,17396.0
p10,2030,2012,124,17040.0
p10,2030,2012,125,16840.0
p10,2030,2012,126,16484.0
p10,2030,2012,127,16156.0
p10,2030,2012,128,16633.0
p10,2030,2012,129,17618.0
p10,2030,2012,130,19284.0
p10,2030,2012,131,20079.0
p10,2030,2012,132,20507.0
p10,2030,2012,133,20779.0
p10,2030,2012,134,21131.0
p10,2030,2012,135,20967.0
p10,2030,2012,136,20391.0
p10,2030,2012,137,20018.0
p10,2030,2012,138,19701.0
p10,2030,2012,139,19461.0
p10,2030,2012,140,19654.0
p10,2030,2012,141,21204.0
p10,2030,2012,142,21499.0
p10,2030,2012,143,21101.0
p10,2030,2012,144,20670.0
p10,2030,2012,145,19955.0
p10,2030,2012,146,18894.0
p10,2030,2012,147,17913.0
p10,2030,2012,148,16727.0
p10,2030,2012,149,16283.0
p10,2030,2012,150,15987.0
p10,2030,2012,151,15689.0
p10,2030,2012,152,15756.0
p10,2030,2012,153,16160.0
p10,2030,2012,154,16755.0
p10,2030,2012,155,17446.0
p10,2030,2012,156,18084.0
p10,2030,2012,157,18729.0
p10,2030,2012,158,18714.0
p10,2030,2012,159,18473.0
p10,2030,2012,160,18109.0
p10,2030,2012,161,17733.0
p10,2030,2012,162,17206.0
p10,2030,2012,163,17032.0
p10,2030,2012,164,17449.0
p10,2030,2012,165,19264.0
p10,2030,2012,166,19564.0
p10,2030,2012,167,19339.0
p10,2030,2012,168,18958.0
p10,2030,2012,169,18466.0
p10,2030,2012,170,17579.0
p10,2030,2012,171,16857.0
p10,2030,2012,172,16382.0
p10,2030,2012,173,15993.0
p10,2030,2012,174,15668.0
p10,2030,2012,175,15409.0
p10,2030,2012,176,15478.0
p10,2030,2012,177,15809.0
p10,2030,2012,178,16455.0
p10,2030,2012,179,16781.0
p10,2030,2012,180,17540.0
p10,2030,2012,181,17965.0
p10,2030,2012,182,18092.0
p10,2030,2012,183,17833.0
p10,2030,2012,184,17429.0
p10,2030,2012,185,17099.0
p10,2030,2012,186,16673.0
p10,2030,2012,187,16639.0
p10,2030,2012,188,17138.0
p10,2030,2012,189,19102.0
p10,2030,2012,190,19602.0
p10,2030,2012,191,19440.0
p10,2030,2012,192,18967.0
p10,2030,2012,193,18364.0
p10,2030,2012,194,17333.0
p10,2030,2012,195,16589.0
p10,2030,2012,196,16774.0
p10,2030,2012,197,16714.0
p10,2030,2012,198,16496.0
p10,2030,2012,199,16260.0
p10,2030,2012,200,16777.0
p10,2030,2012,201,18011.0
p10,2030,2012,202,20008.0
p10,2030,2012,203,20912.0
p10,2030,2012,204,21276.0
p10,2030,2012,205,21378.0
p10,2030,2012,206,21531.0
p10,2030,2012,207,21191.0
p10,2030,2012,208,20555.0
p10,2030,2012,209,20181.0
p10,2030,2012,210,19877.0
p10,2030,2012,211,19571.0
p10,2030,2012,212,19873.0
p10,2030,2012,213,21560.0
p10,2030,2012,214,21962.0
p10,2030,2012,215,21719.0
p10,2030,2012,216,21119.0
p10,2030,2012,217,20193.0
p10,2030,2012,218,18968.0
p10,2030,2012,219,17837.0
p10,2030,2012,220,17146.0
p10,2030,2012,221,16920.0
p10,2030,2012,222,16737.0
p10,2030,2012,223,16510.0
p10,2030,2012,224,17035.0
p10,2030,2012,225,18292.0
p10,2030,2012,226,20193.0
p10,2030,2012,227,21290.0
p10,2030,2012,228,21324.0
p10,2030,2012,229,21263.0
p10,2030,2012,230,21330.0
p10,2030,2012,231,21047.0
p10,2030,2012,232,20337.0
p10,2030,2012,233,19834.0
p10,2030,2012,234,19476.0
p10,2030,2012,235,19321.0
p10,2030,2012,236,19517.0
p10,2030,2012,237,21206.0
