region,capacity_mw,year
p10,7056.9,2024
p11,1277.1,2024
p27,113.4,2024
p28,1426.8,2024
p29,20.2,2024
p30,639.2,2024
p8,24.1,2024
p9,5244.5,2024
p10,7576.8,2026
p11,1359.3,2026
p27,117.9,2026
p28,1502.2,2026
p29,21.0,2026
p30,668.2,2026
p8,25.7,2026
p9,5566.8,2026
p10,8087.8,2028
p11,1440.4,2028
p27,121.6,2028
p28,1589.8,2028
p29,21.6,2028
p30,693.4,2028
p8,27.3,2028
p9,5881.2,2028
p10,8584.1,2030
p11,1518.1,2030
p27,126.3,2030
p28,1717.6,2030
p29,22.3,2030
p30,714.5,2030
p8,28.6,2030
p9,6194.6,2030
p10,9086.3,2032
p11,1596.8,2032
p27,134.3,2032
p28,1910.4,2032
p29,26.4,2032
p30,739.8,2032
p8,30.2,2032
p9,6551.4,2032
p10,8268.5,2034
p11,1448.9,2034
p27,119.9,2034
p28,1716.6,2034
p29,23.8,2034
p30,660.6,2034
p8,27.6,2034
p9,5966.0,2034
p10,8271.7,2036
p11,1449.2,2036
p27,119.9,2036
p28,1717.5,2036
p29,23.8,2036
p30,660.7,2036
p8,27.6,2036
p9,5967.7,2036
p10,8275.4,2038
p11,1449.5,2038
p27,120.0,2038
p28,1718.3,2038
p29,23.8,2038
p30,660.8,2038
p8,27.7,2038
p9,5969.7,2038
p10,8280.8,2040
p11,1450.2,2040
p27,120.1,2040
p28,1719.7,2040
p29,23.8,2040
p30,661.0,2040
p8,27.7,2040
p9,5973.9,2040
p10,8298.1,2042
p11,1454.2,2042
p27,120.1,2042
p28,1723.4,2042
p29,24.0,2042
p30,661.3,2042
p8,27.8,2042
p9,5993.1,2042
p10,8356.8,2044
p11,1464.4,2044
p27,120.2,2044
p28,1732.1,2044
p29,24.0,2044
p30,661.9,2044
p8,28.5,2044
p9,6043.2,2044
p10,8451.6,2046
p11,1476.9,2046
p27,120.7,2046
p28,1744.5,2046
p29,24.3,2046
p30,662.7,2046
p8,29.0,2046
p9,6113.9,2046
p10,8600.5,2048
p11,1496.1,2048
p27,121.3,2048
p28,1764.5,2048
p29,25.0,2048
p30,665.7,2048
p8,29.8,2048
p9,6219.2,2048
p10,8795.3,2050
p11,1521.1,2050
p27,122.5,2050
p28,1797.0,2050
p29,25.9,2050
p30,671.9,2050
p8,30.8,2050
p9,6367.5,2050
