region,time_index,value,weather_year
p10,1,0.0,2012
p10,2,0.0,2012
p10,3,0.0,2012
p10,4,0.0,2012
p10,5,0.0,2012
p10,6,0.0,2012
p10,7,0.0,2012
p10,8,0.0,2012
p10,9,0.0,2012
p10,10,0.0,2012
p10,11,0.0,2012
p10,12,0.0,2012
p10,13,0.0,2012
p10,14,0.011501211,2012
p10,15,0.10799032,2012
p10,16,0.18317191,2012
p10,17,0.33746973,2012
p10,18,0.49267554,2012
p10,19,0.53946733,2012
p10,20,0.5557506,2012
p10,21,0.455569,2012
p10,22,0.34273607,2012
p10,23,0.1937046,2012
p10,24,0.025242131,2012
p10,25,0.0,2012
p10,26,0.0,2012
p10,27,0.0,2012
p10,28,0.0,2012
p10,29,0.0,2012
p10,30,0.0,2012
p10,31,0.0,2012
p10,32,0.0,2012
p10,33,0.0,2012
p10,34,0.0,2012
p10,35,0.0,2012
p10,36,0.0,2012
p10,37,0.0,2012
p10,38,0.015012107,2012
p10,39,0.1687046,2012
p10,40,0.36616224,2012
p10,41,0.5655569,2012
p10,42,0.6713075,2012
p10,43,0.67772394,2012
p10,44,0.6459443,2012
p10,45,0.55411625,2012
p10,46,0.38589588,2012
p10,47,0.20532687,2012
p10,48,0.026392251,2012
p10,49,0.0,2012
p10,50,0.0,2012
p10,51,0.0,2012
p10,52,0.0,2012
p10,53,0.0,2012
p10,54,0.0,2012
p10,55,0.0,2012
p10,56,0.0,2012
p10,57,0.0,2012
p10,58,0.0,2012
p10,59,0.0,2012
p10,60,0.0,2012
p10,61,0.0,2012
p10,62,0.014648911,2012
p10,63,0.14043583,2012
p10,64,0.3559322,2012
p10,65,0.5422518,2012
p10,66,0.62881356,2012
p10,67,0.670339,2012
p10,68,0.70108956,2012
p10,69,0.5659201,2012
p10,70,0.4214891,2012
p10,71,0.20096852,2012
p10,72,0.025968524,2012
p10,73,0.0,2012
p10,74,0.0,2012
p10,75,0.0,2012
p10,76,0.0,2012
p10,77,0.0,2012
p10,78,0.0,2012
p10,79,0.0,2012
p10,80,0.0,2012
p10,81,0.0,2012
p10,82,0.0,2012
p10,83,0.0,2012
p10,84,0.0,2012
p10,85,0.0,2012
p10,86,0.00992736,2012
p10,87,0.13904358,2012
p10,88,0.30950364,2012
p10,89,0.50363195,2012
p10,90,0.6320218,2012
p10,91,0.7136198,2012
p10,92,0.6618644,2012
p10,93,0.52627116,2012
p10,94,0.41882566,2012
p10,95,0.19788136,2012
p10,96,0.02681598,2012
p10,97,0.0,2012
p10,98,0.0,2012
p10,99,0.0,2012
p10,100,0.0,2012
p10,101,0.0,2012
p10,102,0.0,2012
p10,103,0.0,2012
p10,104,0.0,2012
p10,105,0.0,2012
p10,106,0.0,2012
p10,107,0.0,2012
p10,108,0.0,2012
p10,109,0.0,2012
p10,110,0.018946731,2012
p10,111,0.19884987,2012
p10,112,0.39642859,2012
p10,113,0.608293,2012
p10,114,0.7066586,2012
p10,115,0.74715495,2012
p10,116,0.71180385,2012
p10,117,0.63880146,2012
p10,118,0.45127118,2012
p10,119,0.21470945,2012
