year,price,data_year,scenario,fuel,region,dollar_year
2050,27.013659,2025,reference,distillate,p27,2024
2049,26.92877,2025,reference,distillate,p27,2024
2048,26.894941,2025,reference,distillate,p27,2024
2047,26.887711,2025,reference,distillate,p27,2024
2046,26.320063,2025,reference,distillate,p27,2024
2045,26.071318,2025,reference,distillate,p27,2024
2044,26.003086,2025,reference,distillate,p27,2024
2043,25.81707,2025,reference,distillate,p27,2024
2042,25.47719,2025,reference,distillate,p27,2024
2041,25.39069,2025,reference,distillate,p27,2024
2040,25.1523,2025,reference,distillate,p27,2024
2039,24.99091,2025,reference,distillate,p27,2024
2038,24.883926,2025,reference,distillate,p27,2024
2037,24.682825,2025,reference,distillate,p27,2024
2036,24.55608,2025,reference,distillate,p27,2024
2035,24.524843,2025,reference,distillate,p27,2024
2034,24.341986,2025,reference,distillate,p27,2024
2033,24.254683,2025,reference,distillate,p27,2024
2032,24.025526,2025,reference,distillate,p27,2024
2031,24.264881,2025,reference,distillate,p27,2024
2030,24.29067,2025,reference,distillate,p27,2024
2029,24.505615,2025,reference,distillate,p27,2024
2028,24.783485,2025,reference,distillate,p27,2024
2027,25.075033,2025,reference,distillate,p27,2024
2026,25.547911,2025,reference,distillate,p27,2024
2025,26.772507,2025,reference,distillate,p27,2024
2024,28.27949,2025,reference,distillate,p27,2024
2050,27.013659,2025,reference,distillate,p28,2024
2049,26.92877,2025,reference,distillate,p28,2024
2048,26.894941,2025,reference,distillate,p28,2024
2047,26.887711,2025,reference,distillate,p28,2024
2046,26.320063,2025,reference,distillate,p28,2024
2045,26.071318,2025,reference,distillate,p28,2024
2044,26.003086,2025,reference,distillate,p28,2024
2043,25.81707,2025,reference,distillate,p28,2024
2042,25.47719,2025,reference,distillate,p28,2024
2041,25.39069,2025,reference,distillate,p28,2024
2040,25.1523,2025,reference,distillate,p28,2024
2039,24.99091,2025,reference,distillate,p28,2024
2038,24.883926,2025,reference,distillate,p28,2024
2037,24.682825,2025,reference,distillate,p28,2024
2036,24.55608,2025,reference,distillate,p28,2024
2035,24.524843,2025,reference,distillate,p28,2024
2034,24.341986,2025,reference,distillate,p28,2024
2033,24.254683,2025,reference,distillate,p28,2024
2032,24.025526,2025,reference,distillate,p28,2024
2031,24.264881,2025,reference,distillate,p28,2024
2030,24.29067,2025,reference,distillate,p28,2024
2029,24.505615,2025,reference,distillate,p28,2024
2028,24.783485,2025,reference,distillate,p28,2024
2027,25.075033,2025,reference,distillate,p28,2024
2026,25.547911,2025,reference,distillate,p28,2024
2025,26.772507,2025,reference,distillate,p28,2024
2024,28.27949,2025,reference,distillate,p28,2024
2050,27.013659,2025,reference,distillate,p29,2024
2049,26.92877,2025,reference,distillate,p29,2024
2048,26.894941,2025,reference,distillate,p29,2024
2047,26.887711,2025,reference,distillate,p29,2024
2046,26.320063,2025,reference,distillate,p29,2024
2045,26.071318,2025,reference,distillate,p29,2024
2044,26.003086,2025,reference,distillate,p29,2024
2043,25.81707,2025,reference,distillate,p29,2024
2042,25.47719,2025,reference,distillate,p29,2024
2041,25.39069,2025,reference,distillate,p29,2024
2040,25.1523,2025,reference,distillate,p29,2024
2039,24.99091,2025,reference,distillate,p29,2024
2038,24.883926,2025,reference,distillate,p29,2024
2037,24.682825,2025,reference,distillate,p29,2024
2036,24.55608,2025,reference,distillate,p29,2024
2035,24.524843,2025,reference,distillate,p29,2024
2034,24.341986,2025,reference,distillate,p29,2024
2033,24.254683,2025,reference,distillate,p29,2024
2032,24.025526,2025,reference,distillate,p29,2024
2031,24.264881,2025,reference,distillate,p29,2024
2030,24.29067,2025,reference,distillate,p29,2024
2029,24.505615,2025,reference,distillate,p29,2024
2028,24.783485,2025,reference,distillate,p29,2024
2027,25.075033,2025,reference,distillate,p29,2024
2026,25.547911,2025,reference,distillate,p29,2024
2025,26.772507,2025,reference,distillate,p29,2024
2024,28.27949,2025,reference,distillate,p29,2024
2050,27.013659,2025,reference,distillate,p30,2024
2049,26.92877,2025,reference,distillate,p30,2024
2048,26.894941,2025,reference,distillate,p30,2024
2047,26.887711,2025,reference,distillate,p30,2024
2046,26.320063,2025,reference,distillate,p30,2024
2045,26.071318,2025,reference,distillate,p30,2024
2044,26.003086,2025,reference,distillate,p30,2024
2043,25.81707,2025,reference,distillate,p30,2024
2042,25.47719,2025,reference,distillate,p30,2024
2041,25.39069,2025,reference,distillate,p30,2024
2040,25.1523,2025,reference,distillate,p30,2024
2039,24.99091,2025,reference,distillate,p30,2024
2038,24.883926,2025,reference,distillate,p30,2024
2037,24.682825,2025,reference,distillate,p30,2024
2036,24.55608,2025,reference,distillate,p30,2024
2035,24.524843,2025,reference,distillate,p30,2024
2034,24.341986,2025,reference,distillate,p30,2024
2033,24.254683,2025,reference,distillate,p30,2024
2032,24.025526,2025,reference,distillate,p30,2024
2031,24.264881,2025,reference,distillate,p30,2024
2030,24.29067,2025,reference,distillate,p30,2024
2029,24.505615,2025,reference,distillate,p30,2024
2028,24.783485,2025,reference,distillate,p30,2024
2027,25.075033,2025,reference,distillate,p30,2024
2026,25.547911,2025,reference,distillate,p30,2024
2025,26.772507,2025,reference,distillate,p30,2024
2024,28.27949,2025,reference,distillate,p30,2024
2050,0.7515229999999999,2025,no_111d,uranium,p8,2024
2049,0.751599,2025,no_111d,uranium,p8,2024
2048,0.7516649999999999,2025,no_111d,uranium,p8,2024
2047,0.75173,2025,no_111d,uranium,p8,2024
2046,0.751806,2025,no_111d,uranium,p8,2024
2045,0.751871,2025,no_111d,uranium,p8,2024
2044,0.7519359999999999,2025,no_111d,uranium,p8,2024
2043,0.752012,2025,no_111d,uranium,p8,2024
2042,0.7520779999999999,2025,no_111d,uranium,p8,2024
2041,0.752154,2025,no_111d,uranium,p8,2024
2040,0.752219,2025,no_111d,uranium,p8,2024
2039,0.752284,2025,no_111d,uranium,p8,2024
2038,0.75236,2025,no_111d,uranium,p8,2024
2037,0.752425,2025,no_111d,uranium,p8,2024
2036,0.752491,2025,no_111d,uranium,p8,2024
2035,0.752567,2025,no_111d,uranium,p8,2024
2034,0.752632,2025,no_111d,uranium,p8,2024
2033,0.7527079999999999,2025,no_111d,uranium,p8,2024
2032,0.7527729999999999,2025,no_111d,uranium,p8,2024
2031,0.752838,2025,no_111d,uranium,p8,2024
2030,0.752914,2025,no_111d,uranium,p8,2024
2029,0.7529800000000001,2025,no_111d,uranium,p8,2024
2028,0.753056,2025,no_111d,uranium,p8,2024
2027,0.7531209999999999,2025,no_111d,uranium,p8,2024
2026,0.7531859999999999,2025,no_111d,uranium,p8,2024
2025,0.753262,2025,no_111d,uranium,p8,2024
2024,0.753328,2025,no_111d,uranium,p8,2024
2050,0.7515229999999999,2025,no_111d,uranium,p9,2024
2049,0.751599,2025,no_111d,uranium,p9,2024
2048,0.7516649999999999,2025,no_111d,uranium,p9,2024
2047,0.75173,2025,no_111d,uranium,p9,2024
2046,0.751806,2025,no_111d,uranium,p9,2024
2045,0.751871,2025,no_111d,uranium,p9,2024
2044,0.7519359999999999,2025,no_111d,uranium,p9,2024
2043,0.752012,2025,no_111d,uranium,p9,2024
2042,0.7520779999999999,2025,no_111d,uranium,p9,2024
2041,0.752154,2025,no_111d,uranium,p9,2024
2040,0.752219,2025,no_111d,uranium,p9,2024
2039,0.752284,2025,no_111d,uranium,p9,2024
2038,0.75236,2025,no_111d,uranium,p9,2024
2037,0.752425,2025,no_111d,uranium,p9,2024
2036,0.752491,2025,no_111d,uranium,p9,2024
2035,0.752567,2025,no_111d,uranium,p9,2024
2034,0.752632,2025,no_111d,uranium,p9,2024
2033,0.7527079999999999,2025,no_111d,uranium,p9,2024
2032,0.7527729999999999,2025,no_111d,uranium,p9,2024
2031,0.752838,2025,no_111d,uranium,p9,2024
2030,0.752914,2025,no_111d,uranium,p9,2024
2029,0.7529800000000001,2025,no_111d,uranium,p9,2024
2028,0.753056,2025,no_111d,uranium,p9,2024
2027,0.7531209999999999,2025,no_111d,uranium,p9,2024
2026,0.7531859999999999,2025,no_111d,uranium,p9,2024
2025,0.753262,2025,no_111d,uranium,p9,2024
2024,0.753328,2025,no_111d,uranium,p9,2024
2050,0.7515229999999999,2025,no_111d,uranium,p10,2024
2049,0.751599,2025,no_111d,uranium,p10,2024
2048,0.7516649999999999,2025,no_111d,uranium,p10,2024
2047,0.75173,2025,no_111d,uranium,p10,2024
2046,0.751806,2025,no_111d,uranium,p10,2024
2045,0.751871,2025,no_111d,uranium,p10,2024
2044,0.7519359999999999,2025,no_111d,uranium,p10,2024
2043,0.752012,2025,no_111d,uranium,p10,2024
2042,0.7520779999999999,2025,no_111d,uranium,p10,2024
2041,0.752154,2025,no_111d,uranium,p10,2024
2040,0.752219,2025,no_111d,uranium,p10,2024
2039,0.752284,2025,no_111d,uranium,p10,2024
2038,0.75236,2025,no_111d,uranium,p10,2024
2037,0.752425,2025,no_111d,uranium,p10,2024
2036,0.752491,2025,no_111d,uranium,p10,2024
2035,0.752567,2025,no_111d,uranium,p10,2024
2034,0.752632,2025,no_111d,uranium,p10,2024
2033,0.7527079999999999,2025,no_111d,uranium,p10,2024
2032,0.7527729999999999,2025,no_111d,uranium,p10,2024
2031,0.752838,2025,no_111d,uranium,p10,2024
2030,0.752914,2025,no_111d,uranium,p10,2024
2029,0.7529800000000001,2025,no_111d,uranium,p10,2024
