technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Run of River Hydroelectric,34,1P,12.1,,12.1,12.1,1980,2080,0.533,0.0,0.0,11166.0
Run of River Hydroelectric,72,1,10.1,,10.1,10.1,1982,2082,0.0,0.0,0.0,8899.0
Run of River Hydroelectric,100,SC1,1.4,,1.4,1.4,1981,2081,0.04,0.0,0.0,12806.0
Hydroelectric Pumped Storage,104,1,199.8,3096.9,199.8,199.8,1987,2087,0.087,0.0,0.0,8756.0
Conventional Steam Coal,113,1,112.0,,113.6,112.0,2008,2037,0.515,10.597,0.522131473,10754.0436
Conventional Steam Coal,113,3,271.0,,312.3,271.0,2009,2055,0.522,10.864,0.522131473,10754.0436
Petroleum Liquids,114,1,15.0,,26.1,19.0,1972,2022,0.0,25.0,0.286648753,307.06971100000004
Natural Gas Fired Combustion Turbine,116,GT1,50.0,,53.1,62.0,1972,2027,0.108,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT2,50.0,,53.1,62.0,1973,2028,0.108,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT3,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT4,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT5,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT6,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combustion Turbine,116,GT7,101.0,,104.0,103.0,2019,2074,0.12,10.745,7.017535275,10539.91632
Natural Gas Fired Combined Cycle,117,1B,85.0,,132.0,92.0,1976,2031,0.341,10.194,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,2B,85.0,,132.0,92.0,1976,2031,0.332,10.234,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,3B,85.0,,132.0,92.0,1976,2031,0.372,10.176,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C4-1,68.0,,91.0,78.0,2001,2056,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C4-2,34.0,,44.6,34.0,2001,2056,0.417,9.505,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-1,145.0,,184.0,153.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-2,145.0,,184.0,153.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combined Cycle,117,C5-3,162.0,,201.0,162.0,2003,2058,0.417,7.855,6.207834486,4152.100625
Natural Gas Fired Combustion Turbine,117,GT1,50.0,,53.1,62.0,1972,2027,0.016,20.653,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,117,GT2,50.0,,53.1,62.0,1973,2028,0.016,20.654,14.03507055,10539.91632
Natural Gas Fired Combustion Turbine,118,GE1,76.0,,78.3,79.0,2002,2057,0.11,13.309,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,118,GT1,53.1,,53.1,50.0,1972,2027,0.115,13.317,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,118,GT2,50.0,,53.1,62.0,1973,2028,0.1,13.309,7.017535275,1121.119057
Natural Gas Fired Combustion Turbine,120,GT1,18.0,,19.6,22.0,1971,2026,0.073,12.035,1.74861846,10539.91632
