plant_id,region
34,p9
72,p10
100,p28
104,p9
113,p28
114,p28
116,p28
117,p28
118,p28
120,p28
124,p30
126,p30
141,p28
143,p28
145,p28
147,p28
148,p28
149,p28
150,p28
151,p9
152,p27
153,p28
154,p27
160,p28
161,p9
162,p9
180,p9
214,p9
215,p9
217,p9
218,p9
219,p9
220,p9
221,p9
222,p9
223,p9
224,p9
225,p9
227,p9
229,p9
231,p9
232,p9
233,p9
235,p9
236,p9
237,p9
238,p9
239,p9
240,p9
241,p9
242,p9
243,p9
244,p9
246,p9
248,p9
249,p9
250,p9
253,p9
254,p9
255,p9
258,p9
260,p9
261,p9
262,p9
264,p9
265,p9
266,p9
267,p9
268,p9
269,p9
270,p9
272,p9
274,p9
275,p9
276,p9
277,p9
279,p9
280,p9
281,p9
282,p9
283,p9
284,p9
285,p9
286,p9
287,p9
289,p10
290,p9
291,p9
292,p9
293,p9
294,p8
295,p8
296,p8
297,p8
314,p10
315,p10
316,p10
317,p9
318,p9
319,p9
320,p9
321,p9
322,p9
323,p10
324,p10
325,p10
326,p10
327,p10
332,p10
335,p10
336,p10
337,p10
338,p10
339,p10
340,p10
341,p10
342,p10
344,p9
350,p10
353,p10
354,p9
356,p10
357,p10
358,p10
361,p10
363,p10
365,p10
376,p9
377,p10
380,p9
381,p9
382,p9
385,p10
386,p10
387,p10
388,p10
389,p10
391,p10
392,p10
393,p10
394,p10
396,p10
397,p10
398,p10
399,p10
400,p10
401,p10
402,p10
403,p10
404,p10
407,p10
408,p10
409,p9
410,p9
412,p9
413,p9
414,p9
415,p9
416,p9
66659,p9
417,p9
418,p9
419,p9
422,p10
424,p9
425,p9
426,p9
427,p9
428,p9
430,p9
431,p9
432,p9
433,p9
435,p9
62874,p10
436,p10
437,p9
438,p9
439,p9
440,p9
441,p9
442,p9
443,p9
444,p9
445,p9
446,p9
447,p10
448,p9
450,p9
451,p9
454,p9
455,p9
457,p11
479,p10
480,p10
481,p10
482,p10
483,p10
484,p11
487,p10
489,p9
510,p9
531,p9
534,p9
535,p9
537,p9
585,p10
586,p10
57811,p9
626,p9
632,p9
59461,p10
682,p9
714,p9
745,p10
751,p9
776,p9
839,p9
846,p9
902,p9
905,p10
58525,p9
67579,p10
61204,p10
61861,p28
6177,p29
67964,p28
63699,p9
59800,p10
67170,p11
58007,p10
50393,p9
65458,p10
4256,p9
6008,p28
6013,p10
6060,p10
6088,p30
6099,p9
6100,p9
65199,p9
66146,p10
6158,p9
56615,p11
58429,p10
6196,p10
6211,p9
6449,p10
6479,p10
6480,p10
6515,p30
6518,p9
6612,p9
6644,p10
6645,p10
6646,p10
6647,p10
6704,p10
66148,p10
7066,p9
7072,p10
7129,p9
7147,p10
7151,p9
7164,p28
7179,p28
7189,p9
7229,p9
7231,p9
7232,p9
7266,p9
7307,p9
7315,p9
7338,p9
56895,p9
7368,p9
7369,p9
7436,p10
7449,p9
7450,p9
7451,p9
7452,p9
7489,p9
7507,p9
7526,p9
7527,p9
7551,p9
7552,p9
7646,p9
7824,p10
7907,p9
7911,p10
7942,p10
7987,p10
60964,p28
8068,p28
8076,p9
8223,p29
8902,p27
10005,p9
10034,p9
10052,p9
