data_year,basis_year,cap_recovery_years,cost_case,financial_case,technology,tech_detail,parameter,parameter_value,units,dollar_year
2024,2022,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mw,363005.6083,,2022
2024,2022,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,capex_mwh,390928.5979,,2022
2024,2022,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mw,9075.140208,,2022
2024,2022,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,fixed_o_m_mwh,9773.214948,,2022
2024,2022,15,Moderate,Market,Utility-Scale Battery Storage,Lithium Ion,variable_o_m_mwh,0.0,,2022
2024,2022,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1559790.57361718,,2022
2024,2022,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,32443.0472671293,,2022
2024,2022,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1387817.55696598,,2022
2024,2022,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,34500.0,,2022
2024,2022,20,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.17,,2022
2024,2022,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),capex_mw,1237379.6493135,,2022
2024,2022,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),fixed_o_m_mw,26100.0,,2022
2024,2022,20,Moderate,Market,NaturalGas,Combustion Turbine (F-Frame),variable_o_m_mwh,6.94,,2022
2024,2022,20,Moderate,Market,UtilityPV,Class1,capex_mw,1415561.58326124,,2022
2024,2022,20,Moderate,Market,UtilityPV,Class1,fixed_o_m_mw,23765.6034563605,,2022
2024,2022,30,Moderate,Market,LandbasedWind,Class3,capex_mw,1559790.57361718,,2022
2024,2022,30,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,32443.0472671293,,2022
2024,2022,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),capex_mw,1387817.55696598,,2022
2024,2022,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),fixed_o_m_mw,34500.0,,2022
2024,2022,30,Moderate,Market,NaturalGas,2-on-1 Combined Cycle (F-Frame),variable_o_m_mwh,2.17,,2022
