site_id,time_index,value,weather_year
p27,1,0.059103,2012
p27,2,0.034036,2012
p27,3,0.055025,2012
p27,4,0.0961,2012
p27,5,0.108462,2012
p27,6,0.103929,2012
p27,7,0.111731,2012
p27,8,0.160281,2012
p27,9,0.093117,2012
p27,10,0.142195,2012
p27,11,0.113079,2012
p27,12,0.094572,2012
p27,13,0.07293,2012
p27,14,0.049931,2012
p27,15,0.04173,2012
p27,16,0.050693,2012
p27,17,0.060108,2012
p27,18,0.071958,2012
p27,19,0.073013,2012
p27,20,0.103408,2012
p27,21,0.080126,2012
p27,22,0.102396,2012
p27,23,0.121013,2012
p27,24,0.160775,2012
p27,25,0.219481,2012
p27,26,0.128884,2012
p27,27,0.125469,2012
p27,28,0.114839,2012
p27,29,0.072883,2012
p27,30,0.0,2012
p27,31,0.022988,2012
p27,32,0.062958,2012
p27,33,0.080178,2012
p27,34,0.078342,2012
p27,35,0.057943,2012
p27,36,0.055114,2012
p27,37,0.050714,2012
p27,38,0.0,2012
p27,39,0.0,2012
p27,40,0.015946,2012
p27,41,0.010208,2012
p27,42,0.009554,2012
p27,43,0.072526,2012
p27,44,0.049684,2012
p27,45,0.029961,2012
p27,46,0.030339,2012
p27,47,0.032747,2012
p27,48,0.050173,2012
p27,49,0.061721,2012
p27,50,0.114347,2012
p27,51,0.11077,2012
p27,52,0.082065,2012
p27,53,0.141932,2012
p27,54,0.158123,2012
p27,55,0.117569,2012
p27,56,0.144942,2012
p27,57,0.154333,2012
p27,58,0.154819,2012
p27,59,0.113375,2012
p27,60,0.085351,2012
p27,61,0.070133,2012
p27,62,0.097196,2012
p27,63,0.042425,2012
p27,64,0.058292,2012
p27,65,0.075938,2012
p27,66,0.121569,2012
p27,67,0.123739,2012
p27,68,0.1131,2012
p27,69,0.087574,2012
p27,70,0.08413,2012
p27,71,0.12454,2012
p27,72,0.082293,2012
p27,73,0.117377,2012
p27,74,0.128781,2012
p27,75,0.1857,2012
p27,76,0.200792,2012
p27,77,0.210974,2012
p27,78,0.181355,2012
p27,79,0.148755,2012
p27,80,0.138623,2012
p27,81,0.096894,2012
p27,82,0.127855,2012
p27,83,0.105232,2012
p27,84,0.089809,2012
p27,85,0.079679,2012
p27,86,0.114747,2012
p27,87,0.133985,2012
p27,88,0.173651,2012
p27,89,0.177205,2012
p27,90,0.187551,2012
p27,91,0.223583,2012
p27,92,0.245703,2012
p27,93,0.313558,2012
p27,94,0.354137,2012
p27,95,0.361096,2012
p27,96,0.363293,2012
p27,97,0.316808,2012
p27,98,0.289441,2012
p27,99,0.30442,2012
p27,100,0.270291,2012
p27,101,0.218968,2012
p27,102,0.183837,2012
p27,103,0.181066,2012
p27,104,0.150548,2012
p27,105,0.132897,2012
p27,106,0.149313,2012
p27,107,0.124362,2012
p27,108,0.083159,2012
p27,109,0.106131,2012
p27,110,0.115913,2012
p27,111,0.14841,2012
p27,112,0.141355,2012
p27,113,0.146817,2012
p27,114,0.160186,2012
p27,115,0.18384,2012
p27,116,0.215556,2012
p27,117,0.237448,2012
p27,118,0.337972,2012
p27,119,0.401024,2012
p27,120,0.421638,2012
p27,121,0.403863,2012
p27,122,0.427175,2012
p27,123,0.438668,2012
p27,124,0.389806,2012
p27,125,0.455387,2012
p27,126,0.499203,2012
p27,127,0.495736,2012
p27,128,0.467819,2012
p27,129,0.490764,2012
p27,130,0.411487,2012
p27,131,0.33523,2012
p27,132,0.275866,2012
p27,133,0.222992,2012
p27,134,0.184598,2012
p27,135,0.148751,2012
p27,136,0.13019,2012
p27,137,0.116636,2012
p27,138,0.080483,2012
p27,139,0.091382,2012
p27,140,0.11742,2012
p27,141,0.126663,2012
p27,142,0.149681,2012
p27,143,0.180863,2012
p27,144,0.231636,2012
p27,145,0.231485,2012
p27,146,0.22602,2012
p27,147,0.172084,2012
p27,148,0.136864,2012
p27,149,0.241751,2012
p27,150,0.263771,2012
p27,151,0.23932,2012
p27,152,0.264619,2012
p27,153,0.216109,2012
p27,154,0.188026,2012
p27,155,0.248068,2012
p27,156,0.200546,2012
p27,157,0.181015,2012
p27,158,0.166254,2012
p27,159,0.155432,2012
p27,160,0.130671,2012
p27,161,0.160312,2012
p27,162,0.147638,2012
p27,163,0.165179,2012
p27,164,0.189563,2012
p27,165,0.184597,2012
p27,166,0.201215,2012
p27,167,0.135496,2012
p27,168,0.14301,2012
p27,169,0.073663,2012
p27,170,0.055412,2012
p27,171,0.028515,2012
p27,172,0.092428,2012
p27,173,0.082289,2012
p27,174,0.11035,2012
p27,175,0.141939,2012
p27,176,0.135528,2012
p27,177,0.109108,2012
p27,178,0.098708,2012
p27,179,0.058508,2012
p27,180,0.090823,2012
p27,181,0.051846,2012
p27,182,0.072132,2012
p27,183,0.034811,2012
p27,184,0.031534,2012
p27,185,0.021984,2012
p27,186,0.01976,2012
p27,187,0.019573,2012
p27,188,0.0,2012
p27,189,0.003458,2012
p27,190,0.040046,2012
p27,191,0.0,2012
p27,192,0.0,2012
p27,193,0.0,2012
p27,194,0.010915,2012
p27,195,0.0,2012
p27,196,0.0,2012
p27,197,0.0,2012
p27,198,0.0,2012
p27,199,0.008998,2012
p27,200,0.02014,2012
p27,201,0.026759,2012
p27,202,0.038148,2012
p27,203,0.0,2012
p27,204,0.034398,2012
p27,205,0.045992,2012
p27,206,0.05646,2012
p27,207,0.073423,2012
p27,208,0.058076,2012
p27,209,0.051614,2012
p27,210,0.088189,2012
p27,211,0.115083,2012
p27,212,0.11106,2012
p27,213,0.1437,2012
p27,214,0.112057,2012
p27,215,0.079716,2012
p27,216,0.198342,2012
p27,217,0.191488,2012
p27,218,0.20685,2012
p27,219,0.168072,2012
p27,220,0.098135,2012
p27,221,0.08908,2012
p27,222,0.061472,2012
p27,223,0.12326,2012
p27,224,0.092169,2012
p27,225,0.137625,2012
p27,226,0.066592,2012
p27,227,0.030881,2012
p27,228,0.0,2012
p27,229,0.0,2012
p27,230,0.0,2012
p27,231,0.0,2012
p27,232,0.0,2012
p27,233,0.0,2012
p27,234,0.0,2012
p27,235,0.015163,2012
p27,236,0.053577,2012
p27,237,0.092521,2012
p27,238,0.122122,2012
p27,239,0.091571,2012
p27,240,0.055668,2012
p10,1,0.321603,2012
p10,2,0.378686,2012
p10,3,0.503019,2012
p10,4,0.471714,2012
p10,5,0.494051,2012
p10,6,0.449813,2012
p10,7,0.388692,2012
p10,8,0.393829,2012
p10,9,0.358825,2012
p10,10,0.326293,2012
p10,11,0.26664,2012
p10,12,0.225609,2012
p10,13,0.26166,2012
p10,14,0.295815,2012
p10,15,0.297867,2012
p10,16,0.276703,2012
p10,17,0.271453,2012
p10,18,0.254274,2012
p10,19,0.284851,2012
p10,20,0.303835,2012
p10,21,0.320366,2012
p10,22,0.372688,2012
p10,23,0.385173,2012
p10,24,0.406797,2012
p10,25,0.389577,2012
p10,26,0.37521,2012
p10,27,0.33275,2012
p10,28,0.3199,2012
p10,29,0.285384,2012
p10,30,0.282804,2012
p10,31,0.276577,2012
p10,32,0.239175,2012
p10,33,0.27199,2012
p10,34,0.243597,2012
p10,35,0.228339,2012
p10,36,0.170258,2012
p10,37,0.194224,2012
p10,38,0.155062,2012
p10,39,0.149658,2012
p10,40,0.144193,2012
p10,41,0.121397,2012
p10,42,0.142109,2012
p10,43,0.159077,2012
p10,44,0.174279,2012
p10,45,0.180982,2012
p10,46,0.216909,2012
p10,47,0.244639,2012
p10,48,0.267616,2012
p10,49,0.164773,2012
p10,50,0.152098,2012
p10,51,0.221747,2012
p10,52,0.236719,2012
p10,53,0.237384,2012
p10,54,0.18444,2012
p10,55,0.175268,2012
p10,56,0.164504,2012
p10,57,0.154164,2012
p10,58,0.14283,2012
p10,59,0.119729,2012
p10,60,0.090319,2012
p10,61,0.036712,2012
p10,62,0.014127,2012
p10,63,0.028486,2012
p10,64,0.022355,2012
p10,65,0.006023,2012
p10,66,0.024113,2012
p10,67,0.03768,2012
p10,68,0.045235,2012
p10,69,0.075571,2012
p10,70,0.103908,2012
p10,71,0.138608,2012
p10,72,0.159938,2012
p10,73,0.133805,2012
p10,74,0.090384,2012
p10,75,0.021373,2012
p10,76,0.009239,2012
p10,77,0.0,2012
p10,78,0.0,2012
p10,79,0.0,2012
p10,80,0.0,2012
p10,81,0.0,2012
p10,82,0.0,2012
p10,83,0.000891,2012
p10,84,0.0,2012
p10,85,0.001952,2012
p10,86,0.0,2012
p10,87,0.0,2012
p10,88,0.0,2012
p10,89,0.0,2012
p10,90,0.0,2012
p10,91,0.005929,2012
p10,92,0.018215,2012
p10,93,0.0,2012
p10,94,0.0,2012
p10,95,0.0,2012
p10,96,0.0,2012
p10,97,0.0,2012
p10,98,0.0,2012
p10,99,0.0,2012
p10,100,0.0,2012
p10,101,0.030513,2012
p10,102,0.0,2012
p10,103,0.0,2012
p10,104,0.032997,2012
p10,105,0.0,2012
p10,106,0.025459,2012
p10,107,0.01508,2012
p10,108,0.0,2012
p10,109,0.0,2012
p10,110,0.0,2012
p10,111,0.0,2012
p10,112,0.0,2012
p10,113,0.0,2012
p10,114,0.0,2012
p10,115,0.0,2012
p10,116,0.0,2012
p10,117,0.0,2012
p10,118,0.0,2012
p10,119,0.0,2012
p10,120,0.0,2012
p10,121,0.0,2012
p10,122,0.0,2012
p10,123,0.0,2012
p10,124,0.0,2012
p10,125,0.0,2012
p10,126,0.0,2012
p10,127,0.0,2012
p10,128,0.0,2012
p10,129,0.0,2012
p10,130,0.0,2012
p10,131,0.0,2012
p10,132,0.0,2012
p10,133,0.0,2012
p10,134,0.0,2012
p10,135,0.0,2012
p10,136,0.0,2012
p10,137,0.0,2012
p10,138,0.0,2012
p10,139,0.0,2012
p10,140,0.0,2012
p10,141,0.0,2012
p10,142,0.0,2012
p10,143,0.0,2012
p10,144,0.0,2012
p10,145,0.0,2012
p10,146,0.0,2012
p10,147,0.0,2012
p10,148,0.0,2012
p10,149,0.037695,2012
p10,150,0.02801,2012
p10,151,0.072977,2012
p10,152,0.078584,2012
