cpa_id,region,capacity_mw,lcoe,interconnect_annuity,interconnect_capex_mw,resource_annuity,resource_fom,cf
109173,p27,171.89519,23.903435,3362.4597,70649.555,47184.875,15221.571,0.3140915
220928,p29,169.14975,28.237503,15643.701,328694.06,47184.875,15221.571,0.31553194
111781,p28,165.40535,28.937235,15022.733,315646.75,47184.875,15221.571,0.30545238
115286,p30,162.18121,25.496733,4982.787,104694.695,47184.875,15221.571,0.30171847
191605,p8,162.10226,33.18259,17666.473,371195.06,52986.598,15221.571,0.29542723
215359,p27,162.0,30.951536,21265.46,446814.4,47184.875,15221.571,0.3085982
107862,p10,161.29674,25.419739,2261.329,47513.402,51738.125,15221.571,0.31085858
116543,p30,160.83777,30.156332,21219.61,445851.0,47184.875,15221.571,0.31656215
192685,p9,160.64519,30.708792,11420.146,239951.8,52986.598,15221.571,0.2960061
190335,p8,160.39104,28.004454,9446.32,198479.22,48359.91,15221.571,0.29768503
192476,p9,160.28256,31.598282,13509.572,283853.3,52986.598,15221.571,0.29522204
108265,p29,159.38135,30.28175,20257.562,425637.16,47184.875,15221.571,0.31162435
105783,p10,158.92775,42.314014,48013.14,1008817.2,51738.125,15221.571,0.3101751
115572,p28,156.51985,27.457691,10805.41,227035.4,47184.875,15221.571,0.30437803
111500,p11,144.0,32.990902,22639.08,475675.88,51738.125,15221.571,0.31003004
111927,p11,144.0,32.589817,24591.908,516707.3,47184.875,15221.571,0.30473688
