region,capacity_mw,year
p60,27.7,2024
p60,45.5,2026
p60,68.1,2028
p60,93.9,2030
p60,123.4,2032
p60,130.2,2034
p60,132.1,2036
p60,134.5,2038
p60,138.6,2040
p60,146.1,2042
p60,156.9,2044
p60,158.8,2046
p60,161.3,2048
p60,188.9,2050
p61,73.8,2024
p61,109.9,2026
p61,161.0,2028
p61,221.7,2030
p61,295.6,2032
p61,314.0,2034
p61,318.6,2036
p61,324.4,2038
p61,335.3,2040
p61,355.3,2042
p61,382.5,2044
p61,387.3,2046
p61,393.1,2048
p61,466.2,2050
p62,51.4,2024
p62,80.1,2026
p62,116.5,2028
p62,158.7,2030
p62,207.9,2032
p62,218.6,2034
p62,220.3,2036
p62,223.3,2038
p62,229.7,2040
p62,243.0,2042
p62,261.3,2044
p62,266.4,2046
p62,272.4,2048
p62,323.5,2050
p63,1166.0,2024
p63,1751.6,2026
p63,2503.1,2028
p63,3412.5,2030
p63,4439.4,2032
p63,4639.9,2034
p63,4714.6,2036
p63,4815.3,2038
p63,4984.2,2040
p63,5256.1,2042
p63,5598.9,2044
p63,5678.2,2046
p63,5781.9,2048
p63,6889.7,2050
p64,102.0,2024
p64,154.3,2026
p64,224.7,2028
p64,317.5,2030
p64,439.7,2032
p64,493.4,2034
p64,527.7,2036
p64,567.1,2038
p64,611.0,2040
p64,660.6,2042
p64,714.5,2044
p64,755.2,2046
p64,798.5,2048
p64,898.0,2050
p65,172.0,2024
p65,249.0,2026
p65,360.6,2028
p65,514.9,2030
p65,732.4,2032
p65,839.1,2034
p65,907.7,2036
p65,980.4,2038
p65,1053.6,2040
p65,1136.5,2042
p65,1231.0,2044
p65,1304.5,2046
p65,1384.3,2048
p65,1549.6,2050
p67,746.8,2024
p67,1085.0,2026
p67,1519.8,2028
p67,2030.0,2030
p67,2593.6,2032
p67,2671.8,2034
p67,2712.6,2036
p67,2770.4,2038
p67,2864.3,2040
p67,3021.5,2042
p67,3219.3,2044
p67,3260.8,2046
p67,3310.9,2048
p67,3978.3,2050
