region,time_index,value,weather_year
p60,1,0.009533898,2012
p60,2,0.0,2012
p60,3,0.60865617,2012
p60,4,0.0,2012
p60,5,0.42599878,2012
p60,6,0.0,2012
p60,7,0.0,2012
p60,8,0.31933516,2012
p60,9,0.0,2012
p60,10,0.6889881,2012
p60,11,0.0,2012
p60,12,0.054529864,2012
p60,13,0.008373689,2012
p60,14,0.0,2012
p60,15,0.5593725,2012
p60,16,0.0,2012
p60,17,0.3333081,2012
p60,18,0.0,2012
p60,19,0.0,2012
p60,20,0.20268361,2012
p60,21,0.0,2012
p60,22,0.51132464,2012
p60,23,0.0,2012
p60,24,0.017983252,2012
p60,25,0.011375101,2012
p60,26,0.0,2012
p60,27,0.5146287,2012
p60,28,0.0,2012
p60,29,0.35497376,2012
p60,30,0.0,2012
p60,31,0.0,2012
p60,32,0.3991122,2012
p60,33,0.0,2012
p60,34,0.66449755,2012
p60,35,0.0,2012
p60,36,0.054050647,2012
p60,37,0.012711864,2012
p60,38,0.0,2012
p60,39,0.5389427,2012
p60,40,0.0,2012
p60,41,0.3813055,2012
p60,42,0.0,2012
p60,43,0.0,2012
p60,44,0.28866526,2012
p60,45,0.0,2012
p60,46,0.6015688,2012
p60,47,0.0,2012
p60,48,0.025322841,2012
p60,49,0.010189669,2012
p60,50,0.0,2012
p60,51,0.477275,2012
p60,52,0.0,2012
p60,53,0.29600483,2012
p60,54,0.0,2012
p60,55,0.0,2012
p60,56,0.3224879,2012
p60,57,0.0,2012
p60,58,0.45979622,2012
p60,59,0.0,2012
p60,60,0.018008474,2012
p60,61,0.011778652,2012
p60,62,0.0,2012
p60,63,0.58416563,2012
p60,64,0.0,2012
p60,65,0.40387914,2012
p60,66,0.0,2012
p60,67,0.0,2012
p60,68,0.36085048,2012
p60,69,0.0,2012
p60,70,0.626589,2012
p60,71,0.0,2012
p60,72,0.05619451,2012
p60,73,0.038463477,2012
p60,74,0.0,2012
p60,75,0.57425344,2012
p60,76,0.0,2012
p60,77,0.33941182,2012
p60,78,0.0,2012
p60,79,0.0,2012
p60,80,0.30725384,2012
p60,81,0.0,2012
p60,82,0.43644068,2012
p60,83,0.0,2012
p60,84,0.021262107,2012
p60,85,0.04996469,2012
p60,86,0.0,2012
p60,87,0.60434324,2012
p60,88,0.0,2012
p60,89,0.3762611,2012
p60,90,0.0,2012
p60,91,0.0,2012
p60,92,0.3314417,2012
p60,93,0.0,2012
p60,94,0.5278198,2012
p60,95,0.0,2012
p60,96,0.054933414,2012
p60,97,0.03811037,2012
p60,98,0.0,2012
p60,99,0.56270176,2012
p60,100,0.0,2012
p60,101,0.4766697,2012
p60,102,0.0,2012
p60,103,0.0,2012
p60,104,0.29867837,2012
p60,105,0.0,2012
p60,106,0.5312752,2012
p60,107,0.0,2012
p60,108,0.06224778,2012
p60,109,0.040128127,2012
p60,110,0.0,2012
p60,111,0.51715094,2012
p60,112,0.0,2012
p60,113,0.3429429,2012
p60,114,0.0,2012
p60,115,0.0,2012
p60,116,0.30531174,2012
p60,117,0.0,2012
p60,118,0.47137308,2012
p60,119,0.0,2012
p60,120,0.057304278,2012
p60,121,0.064215094,2012
p60,122,0.0,2012
p60,123,0.5787429,2012
p60,124,0.0,2012
p60,125,0.43454903,2012
p60,126,0.0,2012
p60,127,0.0,2012
p60,128,0.40208837,2012
p60,129,0.0,2012
p60,130,0.5697892,2012
p60,131,0.0,2012
p60,132,0.08530065,2012
p60,133,0.07982748,2012
p60,134,0.0,2012
p60,135,0.7828138,2012
p60,136,0.0,2012
p60,137,0.47677058,2012
p60,138,0.0,2012
p60,139,0.0,2012
p60,140,0.32687652,2012
p60,141,0.0,2012
p60,142,0.54577786,2012
p60,143,0.0,2012
p60,144,0.08973971,2012
p60,145,0.054328088,2012
p60,146,0.0,2012
p60,147,0.6717615,2012
p60,148,0.0,2012
p60,149,0.47283596,2012
p60,150,0.0,2012
p60,151,0.0,2012
p60,152,0.44993442,2012
p60,153,0.0,2012
p60,154,0.78571427,2012
p60,155,0.0,2012
p60,156,0.17168583,2012
p60,157,0.102703795,2012
p60,158,0.0,2012
p60,159,0.68742436,2012
p60,160,0.0,2012
p60,161,0.39711964,2012
p60,162,0.0,2012
p60,163,0.0,2012
p60,164,0.42103007,2012
p60,165,0.0,2012
p60,166,0.64250404,2012
p60,167,0.0,2012
p60,168,0.16868442,2012
p60,169,0.08065981,2012
p60,170,0.0,2012
p60,171,0.54683715,2012
p60,172,0.0,2012
p60,173,0.48970944,2012
p60,174,0.0,2012
p60,175,0.0,2012
p60,176,0.47190276,2012
p60,177,0.0,2012
p60,178,0.6866677,2012
p60,179,0.0,2012
p60,180,0.13735875,2012
p60,181,0.05783394,2012
p60,182,0.0,2012
p60,183,0.7408192,2012
p60,184,0.0,2012
p60,185,0.50706214,2012
p60,186,0.0002774415,2012
p60,187,5.0443905e-05,2012
p60,188,0.42042473,2012
p60,189,0.0,2012
p60,190,0.5362944,2012
p60,191,0.0,2012
p60,192,0.15208837,2012
p60,193,0.05657284,2012
p60,194,0.0,2012
p60,195,0.59670097,2012
p60,196,0.0,2012
p60,197,0.39134383,2012
p60,198,0.0008575464,2012
p60,199,5.0443905e-05,2012
p60,200,0.5366223,2012
p60,201,0.0,2012
p60,202,0.79961157,2012
p60,203,0.0,2012
