year,price,data_year,scenario,fuel,region,dollar_year
2024,2.162991,2025,reference,coal,p60,2024
2025,2.1642959999999998,2025,reference,coal,p60,2024
2026,2.179269,2025,reference,coal,p60,2024
2027,2.149857,2025,reference,coal,p60,2024
2028,2.132605,2025,reference,coal,p60,2024
2029,2.111442,2025,reference,coal,p60,2024
2030,2.066023,2025,reference,coal,p60,2024
2031,2.047057,2025,reference,coal,p60,2024
2032,2.127768,2025,reference,coal,p60,2024
2033,2.115684,2025,reference,coal,p60,2024
2034,2.111532,2025,reference,coal,p60,2024
2035,2.107917,2025,reference,coal,p60,2024
2036,2.115228,2025,reference,coal,p60,2024
2037,2.122494,2025,reference,coal,p60,2024
2038,2.121473,2025,reference,coal,p60,2024
2039,2.126446,2025,reference,coal,p60,2024
2040,2.125487,2025,reference,coal,p60,2024
2041,2.12588,2025,reference,coal,p60,2024
2042,2.123515,2025,reference,coal,p60,2024
2043,2.128709,2025,reference,coal,p60,2024
2044,2.131643,2025,reference,coal,p60,2024
2045,2.133063,2025,reference,coal,p60,2024
2046,0.0,2025,reference,coal,p60,2024
2047,0.0,2025,reference,coal,p60,2024
2048,0.0,2025,reference,coal,p60,2024
2049,0.0,2025,reference,coal,p60,2024
2050,0.0,2025,reference,coal,p60,2024
2024,23.852726,2025,reference,distillate,p60,2024
2025,22.581209,2025,reference,distillate,p60,2024
2026,21.251999,2025,reference,distillate,p60,2024
2027,20.752035,2025,reference,distillate,p60,2024
2028,20.395945,2025,reference,distillate,p60,2024
2029,20.075491,2025,reference,distillate,p60,2024
2030,19.811279,2025,reference,distillate,p60,2024
2031,19.881117,2025,reference,distillate,p60,2024
2032,19.778988,2025,reference,distillate,p60,2024
2033,20.17153,2025,reference,distillate,p60,2024
2034,20.286942,2025,reference,distillate,p60,2024
2035,20.430378,2025,reference,distillate,p60,2024
2036,20.510525,2025,reference,distillate,p60,2024
2037,20.664995,2025,reference,distillate,p60,2024
2038,20.864767,2025,reference,distillate,p60,2024
2039,20.963335,2025,reference,distillate,p60,2024
2040,21.113558,2025,reference,distillate,p60,2024
2041,21.372309,2025,reference,distillate,p60,2024
2042,21.459167,2025,reference,distillate,p60,2024
2043,21.799011,2025,reference,distillate,p60,2024
2044,21.984993,2025,reference,distillate,p60,2024
2045,22.05319,2025,reference,distillate,p60,2024
2046,22.301899,2025,reference,distillate,p60,2024
2047,22.869514,2025,reference,distillate,p60,2024
2048,22.876708999999998,2025,reference,distillate,p60,2024
2049,22.9105,2025,reference,distillate,p60,2024
2050,22.995356,2025,reference,distillate,p60,2024
2024,2.19948,2025,reference,naturalgas,p60,2024
2025,2.702884,2025,reference,naturalgas,p60,2024
2026,2.602545,2025,reference,naturalgas,p60,2024
2027,2.549224,2025,reference,naturalgas,p60,2024
2028,2.7017539999999998,2025,reference,naturalgas,p60,2024
2029,2.910596,2025,reference,naturalgas,p60,2024
2030,3.163967,2025,reference,naturalgas,p60,2024
2031,3.303848,2025,reference,naturalgas,p60,2024
2032,3.843493,2025,reference,naturalgas,p60,2024
2033,4.214373,2025,reference,naturalgas,p60,2024
2034,4.409548,2025,reference,naturalgas,p60,2024
2035,4.425838,2025,reference,naturalgas,p60,2024
2036,4.374448,2025,reference,naturalgas,p60,2024
2037,4.317363,2025,reference,naturalgas,p60,2024
2038,4.273121,2025,reference,naturalgas,p60,2024
2039,4.233821,2025,reference,naturalgas,p60,2024
2040,4.305593,2025,reference,naturalgas,p60,2024
2041,4.432408,2025,reference,naturalgas,p60,2024
2042,4.548378,2025,reference,naturalgas,p60,2024
2043,4.704851,2025,reference,naturalgas,p60,2024
2044,4.813431,2025,reference,naturalgas,p60,2024
2045,4.858135,2025,reference,naturalgas,p60,2024
2046,4.923351,2025,reference,naturalgas,p60,2024
2047,5.001916,2025,reference,naturalgas,p60,2024
2048,5.000763,2025,reference,naturalgas,p60,2024
2049,4.946911,2025,reference,naturalgas,p60,2024
2050,4.904408,2025,reference,naturalgas,p60,2024
2024,0.753328,2025,reference,uranium,p60,2024
2025,0.753262,2025,reference,uranium,p60,2024
2026,0.7531859999999999,2025,reference,uranium,p60,2024
2027,0.7531209999999999,2025,reference,uranium,p60,2024
2028,0.753056,2025,reference,uranium,p60,2024
2029,0.7529800000000001,2025,reference,uranium,p60,2024
2030,0.752914,2025,reference,uranium,p60,2024
2031,0.752838,2025,reference,uranium,p60,2024
2032,0.7527729999999999,2025,reference,uranium,p60,2024
2033,0.7527079999999999,2025,reference,uranium,p60,2024
2034,0.752632,2025,reference,uranium,p60,2024
2035,0.752567,2025,reference,uranium,p60,2024
2036,0.752491,2025,reference,uranium,p60,2024
2037,0.752425,2025,reference,uranium,p60,2024
2038,0.75236,2025,reference,uranium,p60,2024
2039,0.752284,2025,reference,uranium,p60,2024
2040,0.752219,2025,reference,uranium,p60,2024
2041,0.752154,2025,reference,uranium,p60,2024
2042,0.7520779999999999,2025,reference,uranium,p60,2024
2043,0.752012,2025,reference,uranium,p60,2024
2044,0.7519359999999999,2025,reference,uranium,p60,2024
2045,0.751871,2025,reference,uranium,p60,2024
2046,0.751806,2025,reference,uranium,p60,2024
2047,0.75173,2025,reference,uranium,p60,2024
2048,0.7516649999999999,2025,reference,uranium,p60,2024
2049,0.751599,2025,reference,uranium,p60,2024
2050,0.7515229999999999,2025,reference,uranium,p60,2024
2024,2.162991,2025,reference,coal,p61,2024
2025,2.1642959999999998,2025,reference,coal,p61,2024
2026,2.179269,2025,reference,coal,p61,2024
2027,2.149857,2025,reference,coal,p61,2024
2028,2.132605,2025,reference,coal,p61,2024
2029,2.111442,2025,reference,coal,p61,2024
2030,2.066023,2025,reference,coal,p61,2024
2031,2.047057,2025,reference,coal,p61,2024
2032,2.127768,2025,reference,coal,p61,2024
2033,2.115684,2025,reference,coal,p61,2024
2034,2.111532,2025,reference,coal,p61,2024
2035,2.107917,2025,reference,coal,p61,2024
2036,2.115228,2025,reference,coal,p61,2024
2037,2.122494,2025,reference,coal,p61,2024
2038,2.121473,2025,reference,coal,p61,2024
2039,2.126446,2025,reference,coal,p61,2024
2040,2.125487,2025,reference,coal,p61,2024
2041,2.12588,2025,reference,coal,p61,2024
2042,2.123515,2025,reference,coal,p61,2024
2043,2.128709,2025,reference,coal,p61,2024
2044,2.131643,2025,reference,coal,p61,2024
2045,2.133063,2025,reference,coal,p61,2024
2046,0.0,2025,reference,coal,p61,2024
2047,0.0,2025,reference,coal,p61,2024
2048,0.0,2025,reference,coal,p61,2024
2049,0.0,2025,reference,coal,p61,2024
2050,0.0,2025,reference,coal,p61,2024
2024,23.852726,2025,reference,distillate,p61,2024
2025,22.581209,2025,reference,distillate,p61,2024
2026,21.251999,2025,reference,distillate,p61,2024
2027,20.752035,2025,reference,distillate,p61,2024
2028,20.395945,2025,reference,distillate,p61,2024
2029,20.075491,2025,reference,distillate,p61,2024
2030,19.811279,2025,reference,distillate,p61,2024
2031,19.881117,2025,reference,distillate,p61,2024
2032,19.778988,2025,reference,distillate,p61,2024
2033,20.17153,2025,reference,distillate,p61,2024
2034,20.286942,2025,reference,distillate,p61,2024
2035,20.430378,2025,reference,distillate,p61,2024
2036,20.510525,2025,reference,distillate,p61,2024
2037,20.664995,2025,reference,distillate,p61,2024
2038,20.864767,2025,reference,distillate,p61,2024
2039,20.963335,2025,reference,distillate,p61,2024
2040,21.113558,2025,reference,distillate,p61,2024
2041,21.372309,2025,reference,distillate,p61,2024
2042,21.459167,2025,reference,distillate,p61,2024
2043,21.799011,2025,reference,distillate,p61,2024
2044,21.984993,2025,reference,distillate,p61,2024
2045,22.05319,2025,reference,distillate,p61,2024
2046,22.301899,2025,reference,distillate,p61,2024
2047,22.869514,2025,reference,distillate,p61,2024
2048,22.876708999999998,2025,reference,distillate,p61,2024
2049,22.9105,2025,reference,distillate,p61,2024
2050,22.995356,2025,reference,distillate,p61,2024
2024,2.19948,2025,reference,naturalgas,p61,2024
2025,2.702884,2025,reference,naturalgas,p61,2024
2026,2.602545,2025,reference,naturalgas,p61,2024
2027,2.549224,2025,reference,naturalgas,p61,2024
2028,2.7017539999999998,2025,reference,naturalgas,p61,2024
2029,2.910596,2025,reference,naturalgas,p61,2024
2030,3.163967,2025,reference,naturalgas,p61,2024
2031,3.303848,2025,reference,naturalgas,p61,2024
2032,3.843493,2025,reference,naturalgas,p61,2024
2033,4.214373,2025,reference,naturalgas,p61,2024
2034,4.409548,2025,reference,naturalgas,p61,2024
2035,4.425838,2025,reference,naturalgas,p61,2024
2036,4.374448,2025,reference,naturalgas,p61,2024
2037,4.317363,2025,reference,naturalgas,p61,2024
2038,4.273121,2025,reference,naturalgas,p61,2024
2039,4.233821,2025,reference,naturalgas,p61,2024
2040,4.305593,2025,reference,naturalgas,p61,2024
2041,4.432408,2025,reference,naturalgas,p61,2024
2042,4.548378,2025,reference,naturalgas,p61,2024
2043,4.704851,2025,reference,naturalgas,p61,2024
2044,4.813431,2025,reference,naturalgas,p61,2024
2045,4.858135,2025,reference,naturalgas,p61,2024
2046,4.923351,2025,reference,naturalgas,p61,2024
2047,5.001916,2025,reference,naturalgas,p61,2024
2048,5.000763,2025,reference,naturalgas,p61,2024
2049,4.946911,2025,reference,naturalgas,p61,2024
2050,4.904408,2025,reference,naturalgas,p61,2024
2024,0.753328,2025,reference,uranium,p61,2024
2025,0.753262,2025,reference,uranium,p61,2024
2026,0.7531859999999999,2025,reference,uranium,p61,2024
2027,0.7531209999999999,2025,reference,uranium,p61,2024
2028,0.753056,2025,reference,uranium,p61,2024
2029,0.7529800000000001,2025,reference,uranium,p61,2024
2030,0.752914,2025,reference,uranium,p61,2024
2031,0.752838,2025,reference,uranium,p61,2024
2032,0.7527729999999999,2025,reference,uranium,p61,2024
2033,0.7527079999999999,2025,reference,uranium,p61,2024
2034,0.752632,2025,reference,uranium,p61,2024
2035,0.752567,2025,reference,uranium,p61,2024
2036,0.752491,2025,reference,uranium,p61,2024
2037,0.752425,2025,reference,uranium,p61,2024
2038,0.75236,2025,reference,uranium,p61,2024
2039,0.752284,2025,reference,uranium,p61,2024
2040,0.752219,2025,reference,uranium,p61,2024
2041,0.752154,2025,reference,uranium,p61,2024
2042,0.7520779999999999,2025,reference,uranium,p61,2024
2043,0.752012,2025,reference,uranium,p61,2024
2044,0.7519359999999999,2025,reference,uranium,p61,2024
2045,0.751871,2025,reference,uranium,p61,2024
2046,0.751806,2025,reference,uranium,p61,2024
2047,0.75173,2025,reference,uranium,p61,2024
2048,0.7516649999999999,2025,reference,uranium,p61,2024
2049,0.751599,2025,reference,uranium,p61,2024
2050,0.7515229999999999,2025,reference,uranium,p61,2024
2024,2.162991,2025,reference,coal,p62,2024
2025,2.1642959999999998,2025,reference,coal,p62,2024
2026,2.179269,2025,reference,coal,p62,2024
2027,2.149857,2025,reference,coal,p62,2024
2028,2.132605,2025,reference,coal,p62,2024
2029,2.111442,2025,reference,coal,p62,2024
2030,2.066023,2025,reference,coal,p62,2024
2031,2.047057,2025,reference,coal,p62,2024
2032,2.127768,2025,reference,coal,p62,2024
2033,2.115684,2025,reference,coal,p62,2024
2034,2.111532,2025,reference,coal,p62,2024
2035,2.107917,2025,reference,coal,p62,2024
2036,2.115228,2025,reference,coal,p62,2024
2037,2.122494,2025,reference,coal,p62,2024
2038,2.121473,2025,reference,coal,p62,2024
2039,2.126446,2025,reference,coal,p62,2024
2040,2.125487,2025,reference,coal,p62,2024
2041,2.12588,2025,reference,coal,p62,2024
2042,2.123515,2025,reference,coal,p62,2024
2043,2.128709,2025,reference,coal,p62,2024
2044,2.131643,2025,reference,coal,p62,2024
2045,2.133063,2025,reference,coal,p62,2024
2046,0.0,2025,reference,coal,p62,2024
2047,0.0,2025,reference,coal,p62,2024
2048,0.0,2025,reference,coal,p62,2024
2049,0.0,2025,reference,coal,p62,2024
2050,0.0,2025,reference,coal,p62,2024
2024,23.852726,2025,reference,distillate,p62,2024
2025,22.581209,2025,reference,distillate,p62,2024
2026,21.251999,2025,reference,distillate,p62,2024
2027,20.752035,2025,reference,distillate,p62,2024
2028,20.395945,2025,reference,distillate,p62,2024
2029,20.075491,2025,reference,distillate,p62,2024
2030,19.811279,2025,reference,distillate,p62,2024
2031,19.881117,2025,reference,distillate,p62,2024
2032,19.778988,2025,reference,distillate,p62,2024
2033,20.17153,2025,reference,distillate,p62,2024
2034,20.286942,2025,reference,distillate,p62,2024
2035,20.430378,2025,reference,distillate,p62,2024
2036,20.510525,2025,reference,distillate,p62,2024
2037,20.664995,2025,reference,distillate,p62,2024
2038,20.864767,2025,reference,distillate,p62,2024
2039,20.963335,2025,reference,distillate,p62,2024
2040,21.113558,2025,reference,distillate,p62,2024
2041,21.372309,2025,reference,distillate,p62,2024
2042,21.459167,2025,reference,distillate,p62,2024
2043,21.799011,2025,reference,distillate,p62,2024
2044,21.984993,2025,reference,distillate,p62,2024
2045,22.05319,2025,reference,distillate,p62,2024
2046,22.301899,2025,reference,distillate,p62,2024
2047,22.869514,2025,reference,distillate,p62,2024
2048,22.876708999999998,2025,reference,distillate,p62,2024
2049,22.9105,2025,reference,distillate,p62,2024
2050,22.995356,2025,reference,distillate,p62,2024
2024,2.19948,2025,reference,naturalgas,p62,2024
2025,2.702884,2025,reference,naturalgas,p62,2024
2026,2.602545,2025,reference,naturalgas,p62,2024
2027,2.549224,2025,reference,naturalgas,p62,2024
2028,2.7017539999999998,2025,reference,naturalgas,p62,2024
2029,2.910596,2025,reference,naturalgas,p62,2024
2030,3.163967,2025,reference,naturalgas,p62,2024
2031,3.303848,2025,reference,naturalgas,p62,2024
2032,3.843493,2025,reference,naturalgas,p62,2024
2033,4.214373,2025,reference,naturalgas,p62,2024
2034,4.409548,2025,reference,naturalgas,p62,2024
2035,4.425838,2025,reference,naturalgas,p62,2024
2036,4.374448,2025,reference,naturalgas,p62,2024
2037,4.317363,2025,reference,naturalgas,p62,2024
2038,4.273121,2025,reference,naturalgas,p62,2024
2039,4.233821,2025,reference,naturalgas,p62,2024
2040,4.305593,2025,reference,naturalgas,p62,2024
2041,4.432408,2025,reference,naturalgas,p62,2024
2042,4.548378,2025,reference,naturalgas,p62,2024
2043,4.704851,2025,reference,naturalgas,p62,2024
2044,4.813431,2025,reference,naturalgas,p62,2024
2045,4.858135,2025,reference,naturalgas,p62,2024
2046,4.923351,2025,reference,naturalgas,p62,2024
2047,5.001916,2025,reference,naturalgas,p62,2024
2048,5.000763,2025,reference,naturalgas,p62,2024
2049,4.946911,2025,reference,naturalgas,p62,2024
2050,4.904408,2025,reference,naturalgas,p62,2024
2024,0.753328,2025,reference,uranium,p62,2024
2025,0.753262,2025,reference,uranium,p62,2024
2026,0.7531859999999999,2025,reference,uranium,p62,2024
2027,0.7531209999999999,2025,reference,uranium,p62,2024
2028,0.753056,2025,reference,uranium,p62,2024
2029,0.7529800000000001,2025,reference,uranium,p62,2024
2030,0.752914,2025,reference,uranium,p62,2024
2031,0.752838,2025,reference,uranium,p62,2024
2032,0.7527729999999999,2025,reference,uranium,p62,2024
2033,0.7527079999999999,2025,reference,uranium,p62,2024
2034,0.752632,2025,reference,uranium,p62,2024
2035,0.752567,2025,reference,uranium,p62,2024
2036,0.752491,2025,reference,uranium,p62,2024
2037,0.752425,2025,reference,uranium,p62,2024
2038,0.75236,2025,reference,uranium,p62,2024
2039,0.752284,2025,reference,uranium,p62,2024
2040,0.752219,2025,reference,uranium,p62,2024
2041,0.752154,2025,reference,uranium,p62,2024
2042,0.7520779999999999,2025,reference,uranium,p62,2024
2043,0.752012,2025,reference,uranium,p62,2024
2044,0.7519359999999999,2025,reference,uranium,p62,2024
2045,0.751871,2025,reference,uranium,p62,2024
2046,0.751806,2025,reference,uranium,p62,2024
2047,0.75173,2025,reference,uranium,p62,2024
2048,0.7516649999999999,2025,reference,uranium,p62,2024
2049,0.751599,2025,reference,uranium,p62,2024
2050,0.7515229999999999,2025,reference,uranium,p62,2024
2024,2.162991,2025,reference,coal,p63,2024
2025,2.1642959999999998,2025,reference,coal,p63,2024
2026,2.179269,2025,reference,coal,p63,2024
2027,2.149857,2025,reference,coal,p63,2024
2028,2.132605,2025,reference,coal,p63,2024
2029,2.111442,2025,reference,coal,p63,2024
2030,2.066023,2025,reference,coal,p63,2024
2031,2.047057,2025,reference,coal,p63,2024
2032,2.127768,2025,reference,coal,p63,2024
2033,2.115684,2025,reference,coal,p63,2024
2034,2.111532,2025,reference,coal,p63,2024
2035,2.107917,2025,reference,coal,p63,2024
2036,2.115228,2025,reference,coal,p63,2024
2037,2.122494,2025,reference,coal,p63,2024
2038,2.121473,2025,reference,coal,p63,2024
2039,2.126446,2025,reference,coal,p63,2024
2040,2.125487,2025,reference,coal,p63,2024
2041,2.12588,2025,reference,coal,p63,2024
2042,2.123515,2025,reference,coal,p63,2024
2043,2.128709,2025,reference,coal,p63,2024
2044,2.131643,2025,reference,coal,p63,2024
2045,2.133063,2025,reference,coal,p63,2024
2046,0.0,2025,reference,coal,p63,2024
2047,0.0,2025,reference,coal,p63,2024
2048,0.0,2025,reference,coal,p63,2024
2049,0.0,2025,reference,coal,p63,2024
2050,0.0,2025,reference,coal,p63,2024
2024,23.852726,2025,reference,distillate,p63,2024
2025,22.581209,2025,reference,distillate,p63,2024
2026,21.251999,2025,reference,distillate,p63,2024
2027,20.752035,2025,reference,distillate,p63,2024
2028,20.395945,2025,reference,distillate,p63,2024
2029,20.075491,2025,reference,distillate,p63,2024
2030,19.811279,2025,reference,distillate,p63,2024
2031,19.881117,2025,reference,distillate,p63,2024
2032,19.778988,2025,reference,distillate,p63,2024
2033,20.17153,2025,reference,distillate,p63,2024
2034,20.286942,2025,reference,distillate,p63,2024
2035,20.430378,2025,reference,distillate,p63,2024
2036,20.510525,2025,reference,distillate,p63,2024
2037,20.664995,2025,reference,distillate,p63,2024
2038,20.864767,2025,reference,distillate,p63,2024
2039,20.963335,2025,reference,distillate,p63,2024
2040,21.113558,2025,reference,distillate,p63,2024
2041,21.372309,2025,reference,distillate,p63,2024
2042,21.459167,2025,reference,distillate,p63,2024
2043,21.799011,2025,reference,distillate,p63,2024
2044,21.984993,2025,reference,distillate,p63,2024
2045,22.05319,2025,reference,distillate,p63,2024
2046,22.301899,2025,reference,distillate,p63,2024
2047,22.869514,2025,reference,distillate,p63,2024
2048,22.876708999999998,2025,reference,distillate,p63,2024
2049,22.9105,2025,reference,distillate,p63,2024
2050,22.995356,2025,reference,distillate,p63,2024
2024,2.19948,2025,reference,naturalgas,p63,2024
2025,2.702884,2025,reference,naturalgas,p63,2024
2026,2.602545,2025,reference,naturalgas,p63,2024
2027,2.549224,2025,reference,naturalgas,p63,2024
2028,2.7017539999999998,2025,reference,naturalgas,p63,2024
2029,2.910596,2025,reference,naturalgas,p63,2024
2030,3.163967,2025,reference,naturalgas,p63,2024
2031,3.303848,2025,reference,naturalgas,p63,2024
2032,3.843493,2025,reference,naturalgas,p63,2024
2033,4.214373,2025,reference,naturalgas,p63,2024
2034,4.409548,2025,reference,naturalgas,p63,2024
2035,4.425838,2025,reference,naturalgas,p63,2024
2036,4.374448,2025,reference,naturalgas,p63,2024
2037,4.317363,2025,reference,naturalgas,p63,2024
2038,4.273121,2025,reference,naturalgas,p63,2024
2039,4.233821,2025,reference,naturalgas,p63,2024
2040,4.305593,2025,reference,naturalgas,p63,2024
2041,4.432408,2025,reference,naturalgas,p63,2024
2042,4.548378,2025,reference,naturalgas,p63,2024
2043,4.704851,2025,reference,naturalgas,p63,2024
2044,4.813431,2025,reference,naturalgas,p63,2024
2045,4.858135,2025,reference,naturalgas,p63,2024
2046,4.923351,2025,reference,naturalgas,p63,2024
2047,5.001916,2025,reference,naturalgas,p63,2024
2048,5.000763,2025,reference,naturalgas,p63,2024
2049,4.946911,2025,reference,naturalgas,p63,2024
2050,4.904408,2025,reference,naturalgas,p63,2024
2024,0.753328,2025,reference,uranium,p63,2024
2025,0.753262,2025,reference,uranium,p63,2024
2026,0.7531859999999999,2025,reference,uranium,p63,2024
2027,0.7531209999999999,2025,reference,uranium,p63,2024
2028,0.753056,2025,reference,uranium,p63,2024
2029,0.7529800000000001,2025,reference,uranium,p63,2024
2030,0.752914,2025,reference,uranium,p63,2024
2031,0.752838,2025,reference,uranium,p63,2024
2032,0.7527729999999999,2025,reference,uranium,p63,2024
2033,0.7527079999999999,2025,reference,uranium,p63,2024
2034,0.752632,2025,reference,uranium,p63,2024
2035,0.752567,2025,reference,uranium,p63,2024
2036,0.752491,2025,reference,uranium,p63,2024
2037,0.752425,2025,reference,uranium,p63,2024
2038,0.75236,2025,reference,uranium,p63,2024
2039,0.752284,2025,reference,uranium,p63,2024
2040,0.752219,2025,reference,uranium,p63,2024
2041,0.752154,2025,reference,uranium,p63,2024
2042,0.7520779999999999,2025,reference,uranium,p63,2024
2043,0.752012,2025,reference,uranium,p63,2024
2044,0.7519359999999999,2025,reference,uranium,p63,2024
2045,0.751871,2025,reference,uranium,p63,2024
2046,0.751806,2025,reference,uranium,p63,2024
2047,0.75173,2025,reference,uranium,p63,2024
2048,0.7516649999999999,2025,reference,uranium,p63,2024
2049,0.751599,2025,reference,uranium,p63,2024
2050,0.7515229999999999,2025,reference,uranium,p63,2024
2024,2.162991,2025,reference,coal,p64,2024
2025,2.1642959999999998,2025,reference,coal,p64,2024
2026,2.179269,2025,reference,coal,p64,2024
2027,2.149857,2025,reference,coal,p64,2024
2028,2.132605,2025,reference,coal,p64,2024
2029,2.111442,2025,reference,coal,p64,2024
2030,2.066023,2025,reference,coal,p64,2024
2031,2.047057,2025,reference,coal,p64,2024
2032,2.127768,2025,reference,coal,p64,2024
2033,2.115684,2025,reference,coal,p64,2024
2034,2.111532,2025,reference,coal,p64,2024
2035,2.107917,2025,reference,coal,p64,2024
2036,2.115228,2025,reference,coal,p64,2024
2037,2.122494,2025,reference,coal,p64,2024
2038,2.121473,2025,reference,coal,p64,2024
2039,2.126446,2025,reference,coal,p64,2024
2040,2.125487,2025,reference,coal,p64,2024
2041,2.12588,2025,reference,coal,p64,2024
2042,2.123515,2025,reference,coal,p64,2024
2043,2.128709,2025,reference,coal,p64,2024
2044,2.131643,2025,reference,coal,p64,2024
2045,2.133063,2025,reference,coal,p64,2024
2046,0.0,2025,reference,coal,p64,2024
2047,0.0,2025,reference,coal,p64,2024
2048,0.0,2025,reference,coal,p64,2024
2049,0.0,2025,reference,coal,p64,2024
2050,0.0,2025,reference,coal,p64,2024
2024,23.852726,2025,reference,distillate,p64,2024
2025,22.581209,2025,reference,distillate,p64,2024
2026,21.251999,2025,reference,distillate,p64,2024
2027,20.752035,2025,reference,distillate,p64,2024
2028,20.395945,2025,reference,distillate,p64,2024
2029,20.075491,2025,reference,distillate,p64,2024
2030,19.811279,2025,reference,distillate,p64,2024
2031,19.881117,2025,reference,distillate,p64,2024
2032,19.778988,2025,reference,distillate,p64,2024
2033,20.17153,2025,reference,distillate,p64,2024
2034,20.286942,2025,reference,distillate,p64,2024
2035,20.430378,2025,reference,distillate,p64,2024
2036,20.510525,2025,reference,distillate,p64,2024
2037,20.664995,2025,reference,distillate,p64,2024
2038,20.864767,2025,reference,distillate,p64,2024
2039,20.963335,2025,reference,distillate,p64,2024
2040,21.113558,2025,reference,distillate,p64,2024
2041,21.372309,2025,reference,distillate,p64,2024
2042,21.459167,2025,reference,distillate,p64,2024
2043,21.799011,2025,reference,distillate,p64,2024
2044,21.984993,2025,reference,distillate,p64,2024
2045,22.05319,2025,reference,distillate,p64,2024
2046,22.301899,2025,reference,distillate,p64,2024
2047,22.869514,2025,reference,distillate,p64,2024
2048,22.876708999999998,2025,reference,distillate,p64,2024
2049,22.9105,2025,reference,distillate,p64,2024
2050,22.995356,2025,reference,distillate,p64,2024
2024,2.19948,2025,reference,naturalgas,p64,2024
2025,2.702884,2025,reference,naturalgas,p64,2024
2026,2.602545,2025,reference,naturalgas,p64,2024
2027,2.549224,2025,reference,naturalgas,p64,2024
2028,2.7017539999999998,2025,reference,naturalgas,p64,2024
2029,2.910596,2025,reference,naturalgas,p64,2024
2030,3.163967,2025,reference,naturalgas,p64,2024
2031,3.303848,2025,reference,naturalgas,p64,2024
2032,3.843493,2025,reference,naturalgas,p64,2024
2033,4.214373,2025,reference,naturalgas,p64,2024
2034,4.409548,2025,reference,naturalgas,p64,2024
2035,4.425838,2025,reference,naturalgas,p64,2024
2036,4.374448,2025,reference,naturalgas,p64,2024
2037,4.317363,2025,reference,naturalgas,p64,2024
2038,4.273121,2025,reference,naturalgas,p64,2024
