plant_id,region
127,p60
298,p63
66905,p63
791,p64
794,p63
67721,p60
66294,p61
66295,p65
66296,p65
6179,p64
66297,p60
66298,p60
64293,p67
67236,p65
65832,p63
64295,p67
3437,p65
3439,p65
3441,p65
3443,p65
3452,p63
3453,p63
3464,p67
3469,p67
3470,p67
3490,p63
3491,p63
3492,p60
3494,p62
3504,p63
3507,p63
3548,p64
3559,p65
3561,p64
3576,p63
3581,p64
3582,p64
3583,p64
3584,p64
3585,p64
3586,p64
3594,p64
3595,p64
3597,p64
3598,p64
3599,p64
3600,p64
3601,p64
3609,p65
3611,p65
3612,p65
3628,p63
3630,p65
3631,p65
4195,p63
4937,p64
4939,p65
6145,p63
6146,p63
6178,p65
6180,p63
6181,p65
6183,p65
6243,p64
6251,p65
6410,p65
6414,p63
6416,p63
67740,p63
7030,p63
7097,p65
7325,p67
65588,p61
7512,p65
7900,p64
8063,p63
50109,p63
50127,p63
50137,p65
50569,p63
50815,p67
52088,p67
52176,p60
54676,p67
54817,p63
54979,p60
55015,p67
55047,p67
55062,p64
55086,p65
55091,p63
55097,p63
55098,p65
55123,p65
55132,p63
55137,p64
55139,p63
55144,p64
55153,p64
55154,p64
55168,p64
55172,p63
55187,p67
55206,p65
55215,p62
55223,p63
55226,p63
55230,p63
55299,p67
55320,p63
55357,p67
55365,p67
55464,p67
55480,p63
55545,p65
55581,p62
55747,p61
55795,p61
55796,p61
59649,p65
55968,p60
55992,p61
56111,p60
56113,p65
56211,p60
56212,p60
56240,p61
56270,p61
56291,p61
56311,p60
56337,p60
56349,p62
56350,p65
56372,p60
56374,p64
56394,p61
56395,p63
56457,p60
56479,p62
56483,p61
56484,p60
56506,p60
56524,p64
56592,p60
56593,p60
56602,p60
56611,p63
56638,p61
56644,p62
56649,p61
56661,p65
56674,p64
56754,p61
56763,p61
56771,p63
56773,p60
56774,p60
56775,p60
56776,p60
56779,p61
56783,p60
56795,p65
56823,p63
56864,p65
56920,p60
56921,p62
56956,p60
56959,p60
56961,p62
56979,p61
56981,p60
56983,p65
56984,p60
57020,p63
65860,p61
64164,p63
57071,p63
57095,p65
57153,p61
57156,p63
57167,p64
57197,p65
57212,p65
57260,p65
57303,p60
64312,p64
57415,p61
57474,p60
57520,p63
57617,p65
57659,p64
67535,p67
57699,p64
57751,p65
57752,p65
67651,p67
57802,p65
66400,p65
68181,p63
57165,p63
57927,p65
57974,p63
57981,p63
57983,p60
58000,p61
58001,p63
58009,p65
58021,p65
58027,p65
58048,p60
58068,p65
58080,p63
68495,p65
68456,p60
60690,p60
66804,p60
58321,p63
58372,p60
58378,p67
58471,p62
64296,p67
58488,p61
58537,p65
66690,p67
58614,p65
58710,p61
58716,p65
58717,p65
58766,p60
58838,p63
66688,p63
59034,p63
59063,p65
59066,p65
59118,p65
59193,p65
59204,p65
59205,p65
59206,p61
59207,p60
59238,p63
59244,p60
59245,p60
59320,p65
59321,p65
59332,p60
59391,p65
59417,p60
59442,p63
58946,p63
67761,p67
59654,p65
65259,p67
66992,p65
59712,p65
59732,p60
59733,p60
59734,p60
65861,p64
66338,p67
59806,p60
59812,p63
59938,p64
59943,p62
59972,p62
59994,p61
60044,p61
60059,p65
65589,p65
60104,p65
68513,p63
60122,p65
60123,p62
60217,p61
65870,p67
65809,p65
60264,p67
60271,p60
60272,p60
60273,p60
67570,p63
60338,p60
60339,p60
60372,p60
65810,p62
60427,p63
60436,p61
60459,p65
60460,p67
60468,p67
60472,p65
60502,p63
63737,p63
66795,p63
60581,p62
67738,p67
68686,p65
60645,p65
60682,p61
62609,p65
67861,p63
67019,p63
60743,p63
60774,p63
60789,p61
65811,p61
60901,p60
60902,p60
60910,p67
60983,p63
60987,p62
60989,p61
61001,p61
61032,p63
61205,p64
61212,p63
61241,p65
61242,p65
61309,p63
65488,p63
61343,p65
61346,p61
66009,p62
61368,p61
61370,p63
61402,p60
61409,p63
61410,p63
61411,p63
61417,p60
68499,p67
68500,p67
61493,p64
61513,p63
61514,p63
61524,p63
61532,p63
61625,p63
61643,p63
65410,p63
61697,p60
61700,p64
61742,p64
66916,p65
61773,p65
61776,p65
61782,p61
61810,p63
61865,p65
61867,p64
61868,p67
61871,p63
61872,p64
61873,p63
61874,p63
61875,p65
61895,p63
61906,p62
61920,p61
61962,p60
61966,p65
61967,p61
61969,p65
61970,p60
62038,p61
62141,p61
62142,p60
62207,p65
62227,p60
67598,p63
62249,p60
62258,p65
62259,p61
65876,p67
62356,p60
67654,p67
62411,p60
62415,p61
62416,p65
62417,p65
66794,p63
62448,p62
65489,p60
64314,p67
62483,p61
62505,p63
62548,p67
62561,p62
62562,p62
62566,p60
67237,p64
62587,p60
62610,p65
62618,p65
62630,p62
65850,p67
62715,p63
62755,p62
62762,p67
62765,p60
62772,p63
62773,p63
62774,p63
62783,p65
62804,p61
62809,p61
62836,p60
62845,p60
62846,p61
62853,p61
62855,p65
62909,p65
62932,p62
62933,p62
62945,p67
62953,p63
63027,p65
63100,p63
63101,p65
63180,p63
63194,p63
63202,p60
63209,p61
63211,p63
63222,p63
63223,p65
63233,p62
66872,p63
63255,p62
63273,p67
60506,p61
63320,p61
68334,p61
66792,p65
63328,p60
63329,p61
63335,p67
65812,p63
63342,p62
63343,p61
63351,p61
63388,p62
67843,p63
65813,p61
66801,p63
63519,p62
66420,p63
64915,p61
63624,p65
66007,p61
67752,p65
63655,p60
67656,p63
63688,p67
64528,p67
67284,p65
66791,p62
68428,p61
67860,p64
63738,p65
63739,p65
65814,p61
63764,p63
63769,p63
63797,p63
63840,p65
63882,p63
63883,p63
63884,p63
63892,p63
63905,p60
63985,p67
66410,p63
64026,p60
64075,p61
64079,p65
68613,p65
66871,p65
64131,p63
64132,p63
64133,p67
65541,p67
64149,p60
66782,p61
64165,p63
64202,p64
64204,p65
64227,p65
64239,p64
64258,p65
64259,p63
64260,p63
68580,p61
64325,p62
64347,p63
64383,p67
66414,p65
66411,p65
64297,p67
64447,p67
67844,p67
68809,p67
65838,p61
65829,p65
64538,p65
64544,p61
67896,p61
64551,p61
64591,p65
66006,p61
64639,p60
64672,p64
65490,p61
64710,p61
64089,p65
64859,p63
67059,p60
64821,p65
64823,p65
64824,p65
64825,p65
64826,p65
64827,p65
64828,p65
67658,p65
66790,p62
64892,p63
65830,p64
64927,p65
67845,p64
64981,p63
64999,p63
65026,p65
65028,p63
65034,p65
65048,p63
65162,p62
65535,p62
65536,p65
65788,p63
65261,p67
65262,p67
