technology,plant_id,generator_id,capacity_mw,capacity_mwh,nameplate_capacity_mw,winter_capacity_mw,operating_year,retirement_year,historical_capacity_factor,heat_rate_mmbtu_mwh,vom_per_mwh,fom_per_mwyr
Conventional Steam Coal,298,1,824.0,,893.0,824.0,1985,2060,0.425,11.116,1.113288195,25956.4892
Conventional Steam Coal,298,2,836.0,,956.8,836.0,1986,2061,0.482,11.181,1.113288195,25956.4892
Batteries,66905,BESS,100.0,290.0,100.0,100.0,2025,2040,0.85,,0.0,12544.0
Run of River Hydroelectric,791,1,3.0,,3.0,3.0,1989,2089,0.061,,0.0,11247.0
Run of River Hydroelectric,791,2,3.0,,3.0,3.0,1989,2089,0.061,,0.0,10954.0
Run of River Hydroelectric,794,1,2.0,,2.8,2.0,1992,2092,0.296,,0.0,13368.0
Batteries,67721,ALPTR,100.3,145.0,100.3,100.3,2024,2039,0.85,,0.0,12544.0
Batteries,66294,A4BS1,100.0,290.0,100.0,100.0,2025,2040,0.85,,0.0,12544.0
Batteries,66295,A5BS1,100.0,290.0,100.0,100.0,2025,2040,0.85,,0.0,12544.0
Batteries,66296,A5BS2,100.0,290.0,100.0,100.0,2025,2040,0.85,,0.0,12544.0
Conventional Steam Coal,6179,1,295.0,,307.5,299.0,2011,2054,0.573,10.734,0.467123062,10754.0436
Conventional Steam Coal,6179,1,295.0,,307.5,299.0,2011,2054,0.573,10.734,0.467123062,10754.0436
Conventional Steam Coal,6179,2,295.0,,307.5,299.0,2011,2055,0.655,10.732,0.467123062,10754.0436
Conventional Steam Coal,6179,2,295.0,,307.5,299.0,2011,2055,0.655,10.732,0.467123062,10754.0436
Batteries,66297,A7BS1,150.0,435.0,150.0,150.0,2025,2040,0.85,,0.0,12544.0
Batteries,66298,A7BS2,150.0,435.0,150.0,150.0,2025,2040,0.85,,0.0,12544.0
Batteries,64293,ALVIN,9.9,9.9,9.9,9.9,2020,2035,0.0,,0.0,12544.0
Batteries,67236,ANEM1,200.0,400.0,200.0,200.0,2024,2039,0.85,,0.0,12544.0
Petroleum Liquids,65832,OLNYD,9.9,,9.9,9.9,2025,2075,,9.905,2.284,9235.0
Batteries,64295,ANGLE,9.9,9.9,9.9,9.9,2020,2035,0.0,,0.0,12544.0
Run of River Hydroelectric,3437,1,2.0,,3.2,2.0,1932,2032,0.743,,0.0,11271.0
Run of River Hydroelectric,3437,2,2.0,,3.2,2.0,1932,2032,0.743,,0.0,10896.0
Run of River Hydroelectric,3437,3,2.0,,3.2,2.0,1932,2032,0.743,,0.0,10896.0
Natural Gas Fired Combustion Turbine,3439,4,90.1,,131.8,97.4,2008,2063,0.026,10.745,1.74861846,1121.119057
Natural Gas Fired Combustion Turbine,3439,5,87.3,,131.8,94.4,2008,2063,0.026,10.745,1.74861846,1121.119057
Natural Gas Fired Combined Cycle,3441,7,319.0,,351.0,325.0,1972,2027,0.245,7.594,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3441,8,157.0,,189.6,165.0,2010,2065,0.245,7.594,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3441,9,157.0,,189.6,165.0,2010,2065,0.245,7.594,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3443,5,112.0,,180.0,112.0,1963,2030,0.389,7.848,3.516257561,8987.410604
Natural Gas Fired Combined Cycle,3443,7,176.0,,196.9,176.0,2009,2064,0.389,7.848,3.516257561,8987.410604
Natural Gas Steam Turbine,3452,1,392.0,,396.5,392.0,1970,2045,0.034,12.647,0.124136665,4090.835119
Natural Gas Steam Turbine,3452,2,523.0,,531.0,523.0,1973,2048,0.171,12.275,0.124136665,4090.835119
Natural Gas Steam Turbine,3453,6,122.0,,135.7,122.0,1956,2031,0.091,13.163,0.124136665,4090.835119
Natural Gas Steam Turbine,3453,7,118.0,,136.0,118.0,1958,2033,0.129,12.787,0.124136665,4090.835119
Natural Gas Steam Turbine,3453,8,568.0,,580.5,568.0,1967,2042,0.075,11.985,0.124136665,4090.835119
Natural Gas Fired Combustion Turbine,3464,73,57.0,,72.0,67.0,1976,2031,0.03,14.868,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3464,74,53.0,,72.0,68.0,1976,2031,0.028,14.887,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3464,81,53.0,,72.0,69.0,1976,2031,0.028,14.882,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3464,82,47.0,,72.0,53.0,1976,2031,0.031,14.898,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3464,83,61.0,,72.0,72.0,1976,2031,0.03,14.895,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3464,84,56.0,,72.0,67.0,1976,2031,0.029,14.873,2.970058035,3795.094032
Natural Gas Fired Combined Cycle,3469,3,110.0,,113.1,110.0,1974,2029,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,31,54.0,,54.0,69.0,1972,2027,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,32,54.0,,54.0,69.0,1972,2027,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,33,54.0,,54.0,69.0,1972,2027,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,34,54.0,,54.0,69.0,1972,2027,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,4,110.0,,113.1,110.0,1974,2029,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,41,54.0,,54.0,69.0,1972,2027,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,42,54.0,,54.0,69.0,1972,2027,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,43,54.0,,56.7,69.0,1974,2029,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combined Cycle,3469,44,54.0,,56.7,69.0,1974,2029,0.16,9.537,1.830270212,4152.100625
Natural Gas Fired Combustion Turbine,3469,51,56.0,,85.0,65.0,1975,2030,0.054,13.937,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3469,52,56.0,,85.0,65.0,1975,2030,0.054,13.937,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3469,53,56.0,,85.0,65.0,1975,2030,0.054,13.937,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3469,54,56.0,,85.0,65.0,1975,2030,0.054,13.937,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3469,55,56.0,,85.0,65.0,1975,2030,0.054,13.937,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3469,56,56.0,,85.0,65.0,1975,2030,0.054,13.937,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3469,GT1,14.0,,16.3,16.0,1967,2022,0.055,13.949,2.970058035,3795.094032
Natural Gas Steam Turbine,3470,1,169.0,,187.8,169.0,1958,2033,0.096,11.452,0.131878475,4345.960941
Natural Gas Steam Turbine,3470,2,169.0,,187.8,169.0,1958,2033,0.115,11.347,0.131878475,4345.960941
Natural Gas Steam Turbine,3470,3,240.0,,299.2,258.0,1961,2036,0.162,11.355,0.131878475,4345.960941
Natural Gas Steam Turbine,3470,4,527.0,,580.5,552.0,1968,2043,0.116,11.023,0.131878475,4345.960941
Conventional Steam Coal,3470,5,664.0,,734.1,664.0,1977,2052,0.555,11.156,0.528130544,11585.37239
Conventional Steam Coal,3470,6,663.0,,734.1,663.0,1978,2053,0.49,11.138,0.528130544,11585.37239
Conventional Steam Coal,3470,7,577.0,,614.6,577.0,1980,2055,0.613,11.16,0.528130544,11585.37239
Conventional Steam Coal,3470,8,610.0,,654.0,610.0,1982,2057,0.437,11.025,0.488276248,11585.37239
Natural Gas Fired Combustion Turbine,3470,GT1,13.0,,16.3,13.0,1967,2022,0.013,19.986,2.740763267,8080.909324
Natural Gas Steam Turbine,3490,1,239.0,,247.7,239.0,1960,2035,0.237,11.686,5.462,13489.0
Natural Gas Steam Turbine,3490,2,390.0,,387.0,390.0,1969,2044,0.191,11.54,2.284,9235.0
Natural Gas Steam Turbine,3491,3,375.0,,404.8,375.0,1963,2038,0.16,13.607,0.131878475,4345.960941
Natural Gas Steam Turbine,3491,4,435.0,,455.0,435.0,1976,2051,0.136,13.642,0.131878475,4345.960941
Natural Gas Steam Turbine,3491,5,435.0,,455.0,435.0,1977,2052,0.125,13.442,0.131878475,4345.960941
Petroleum Liquids,3492,CT1,66.0,,89.4,82.0,1988,2038,0.009,11.896,2.970058035,3795.094032
Petroleum Liquids,3492,CT2,65.0,,89.4,80.0,1988,2038,0.009,11.896,2.970058035,3795.094032
Petroleum Liquids,3492,CT3,65.0,,89.4,80.0,1988,2038,0.009,11.896,2.970058035,3795.094032
Petroleum Liquids,3492,CT4,67.0,,89.4,81.0,1988,2038,0.01,11.892,2.970058035,3795.094032
Petroleum Liquids,3492,CT5,67.0,,89.4,80.0,1988,2038,0.01,11.896,2.970058035,3795.094032
Petroleum Liquids,3492,CT6,67.0,,89.4,82.0,1988,2038,0.01,11.896,2.970058035,3795.094032
Natural Gas Fired Combustion Turbine,3494,CT1,63.0,,89.4,79.0,1988,2043,0.101,13.559,1.485029017,3795.094032
Natural Gas Fired Combustion Turbine,3494,CT2,64.0,,89.4,76.0,1988,2043,0.103,13.555,1.485029017,3795.094032
Natural Gas Fired Combustion Turbine,3494,CT3,64.0,,89.4,78.0,1988,2043,0.102,13.555,1.485029017,3795.094032
Natural Gas Fired Combustion Turbine,3494,CT4,64.0,,89.4,75.0,1990,2045,0.104,13.555,1.485029017,3795.094032
Natural Gas Fired Combustion Turbine,3494,CT5,65.0,,89.4,79.0,1990,2045,0.102,13.555,1.485029017,3795.094032
Petroleum Liquids,3504,D1,2.0,,2.0,2.0,1966,2030,0.0,25.0,2.740763267,8080.909324
Petroleum Liquids,3504,D2,2.0,,2.0,2.0,1966,2030,0.0,25.0,2.740763267,8080.909324
Petroleum Liquids,3504,D3,2.0,,2.0,2.0,1966,2030,0.0,25.0,2.740763267,8080.909324
Petroleum Liquids,3504,D4,2.0,,2.0,2.0,1966,2030,0.0,25.0,2.740763267,8080.909324
Petroleum Liquids,3504,D5,2.0,,2.0,2.0,1966,2030,0.0,25.0,2.740763267,8080.909324
Natural Gas Steam Turbine,3504,ST1,167.0,,176.8,167.0,1958,2033,0.147,13.726,6.007,8600.0
Natural Gas Steam Turbine,3504,ST2,502.0,,526.6,502.0,1965,2040,0.197,12.853,1.512,6810.0
Natural Gas Steam Turbine,3507,6,235.0,,239.3,235.0,1965,2040,0.161,11.63,0.164883224,5433.608873
Petroleum Liquids,3507,D1,2.0,,2.0,2.0,1966,2030,0.0,25.0,5.481526534,8080.909324
Petroleum Liquids,3507,D2,2.0,,2.0,2.0,1966,2030,0.0,25.0,5.481526534,8080.909324
Natural Gas Fired Combustion Turbine,3548,GT1,52.0,,51.5,60.0,1988,2043,0.0,13.645,14.03507055,1121.119057
Natural Gas Fired Combustion Turbine,3548,GT2,52.0,,51.5,60.0,1988,2043,0.0,13.645,14.03507055,1121.119057
Natural Gas Fired Combustion Turbine,3548,GT3,52.0,,51.5,60.0,1988,2043,0.0,13.645,14.03507055,1121.119057
Natural Gas Fired Combustion Turbine,3548,GT4,52.0,,51.5,60.0,1988,2043,0.0,13.645,14.03507055,1121.119057
Natural Gas Fired Combustion Turbine,3559,10,45.0,,61.0,48.0,2004,2059,0.121,11.265,1.370381634,1230.331313
Natural Gas Fired Combined Cycle,3559,6,20.0,,25.0,20.0,1959,2030,0.097,11.265,5.733058547,4342.0804259999995
Natural Gas Fired Combined Cycle,3559,9,42.0,,50.0,52.0,1996,2051,0.097,11.265,5.733058547,4342.0804259999995
Petroleum Liquids,3559,DG-3a,1.0,,1.3,1.0,2001,2051,0.0,12.159,2.740763267,1230.331313
Petroleum Liquids,3559,DG-3b,1.0,,1.3,1.0,2001,2051,0.0,12.159,2.740763267,1230.331313
Petroleum Liquids,3559,DG-4,1.0,,1.3,1.0,2001,2051,0.0,12.159,2.740763267,1230.331313
Petroleum Liquids,3559,DG-6a,1.0,,1.3,1.0,2001,2051,0.0,12.159,2.740763267,1230.331313
