region,technology,city,state,value,match_method,distance_km
p60,Coal_new,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Coal_95%-CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Coal_99%-CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Coal_Retrofits_95%-CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Coal_Retrofits_90%-CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Combustion Turbine - Simple Cycle (Aeroderivative),Oklahoma City,Oklahoma,0.97,nearest_same_state,353.75
p60,NaturalGas_Combustion Turbine,Oklahoma City,Oklahoma,0.96,nearest_same_state,353.75
p60,NaturalGas_F-Frame CT,Oklahoma City,Oklahoma,0.96,nearest_same_state,353.75
p60,NaturalGas_2-on-1 Combined Cycle,Oklahoma City,Oklahoma,0.96,nearest_same_state,353.75
p60,NaturalGas_F-Frame CC,Oklahoma City,Oklahoma,0.96,nearest_same_state,353.75
p60,NaturalGas_H-Frame CC,Oklahoma City,Oklahoma,0.96,nearest_same_state,353.75
p60,NaturalGas_1-on-1 Combined Cycle,Oklahoma City,Oklahoma,0.96,nearest_same_state,353.75
p60,NaturalGas_1-on-1 Combined Cycle (H-Frame) 95% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_1-on-1 Combined Cycle (H-Frame) 97% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_2-on-1 Combined Cycle (F-Frame) 97% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_2-on-1 Combined Cycle (H-Frame) 95% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_2-on-1 Combined Cycle (H-Frame) 97% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_F-Frame CC 95% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_H-Frame CC 95% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_F-Frame CC 97% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,NaturalGas_H-Frame CC 97% CCS,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Biopower_Dedicated,Oklahoma City,Oklahoma,0.95,nearest_same_state,353.75
p60,Nuclear_Nuclear,Oklahoma City,Oklahoma,0.97,nearest_same_state,353.75
p60,Nuclear_Nuclear - Large,Oklahoma City,Oklahoma,0.97,nearest_same_state,353.75
p60,Nuclear_SMR,Oklahoma City,Oklahoma,0.97,nearest_same_state,353.75
p60,Nuclear_Nuclear - Small,Oklahoma City,Oklahoma,0.97,nearest_same_state,353.75
p60,Geothermal,Oklahoma City,Oklahoma,,nearest_same_state,353.75
p60,Hydropower,Oklahoma City,Oklahoma,,nearest_same_state,353.75
p60,Pumped Storage Hydropower,Oklahoma City,Oklahoma,,nearest_same_state,353.75
p60,LandBasedWind,Oklahoma City,Oklahoma,0.97,nearest_same_state,353.75
p60,Onshore Wind Repowering/Retrofit,Oklahoma City,Oklahoma,0.98,nearest_same_state,353.75
p60,OffshoreWind,Oklahoma City,Oklahoma,,nearest_same_state,353.75
p60,UtilityPV,Oklahoma City,Oklahoma,0.98,nearest_same_state,353.75
p60,Solar PV w/ Single Axis Tracking + AC Coupled Battery Storage,Oklahoma City,Oklahoma,0.98,nearest_same_state,353.75
p60,"Solar PV, Single-Axis Tracking (1.6 ILR) with Battery Hybrid",Oklahoma City,Oklahoma,0.98,nearest_same_state,353.75
p60,Battery_,Oklahoma City,Oklahoma,0.99,nearest_same_state,353.75
p60,Utility-Scale Battery Storage,Oklahoma City,Oklahoma,0.99,nearest_same_state,353.75
p61,Coal_new,Albuquerque,New Mexico,1.03,nearest_same_state,618.67
p61,Coal_95%-CCS,Albuquerque,New Mexico,1.04,nearest_same_state,618.67
p61,Coal_99%-CCS,Albuquerque,New Mexico,1.04,nearest_same_state,618.67
p61,Coal_Retrofits_95%-CCS,Albuquerque,New Mexico,1.04,nearest_same_state,618.67
p61,Coal_Retrofits_90%-CCS,Albuquerque,New Mexico,1.04,nearest_same_state,618.67
p61,Combustion Turbine - Simple Cycle (Aeroderivative),Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_Combustion Turbine,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_F-Frame CT,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_2-on-1 Combined Cycle,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_F-Frame CC,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_H-Frame CC,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_1-on-1 Combined Cycle,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_1-on-1 Combined Cycle (H-Frame) 95% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_1-on-1 Combined Cycle (H-Frame) 97% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_2-on-1 Combined Cycle (F-Frame) 95% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_2-on-1 Combined Cycle (F-Frame) 97% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_2-on-1 Combined Cycle (H-Frame) 95% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_2-on-1 Combined Cycle (H-Frame) 97% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
p61,NaturalGas_F-Frame CC 95% CCS,Albuquerque,New Mexico,1.01,nearest_same_state,618.67
