region,planning_year,reserve_margin
p60,2025,0.1375
p60,2026,0.1375
p60,2027,0.1375
p60,2028,0.1375
p60,2029,0.1375
p60,2030,0.1375
p60,2031,0.1375
p60,2032,0.1375
p60,2033,0.1375
p60,2034,0.1375
p60,2035,0.1375
p60,2036,0.1375
p60,2037,0.1375
p60,2038,0.1375
p60,2039,0.1375
p60,2040,0.1375
p60,2041,0.1375
p60,2042,0.1375
p60,2043,0.1375
p60,2044,0.1375
p60,2045,0.1375
p60,2046,0.1375
p60,2047,0.1375
p60,2048,0.1375
p60,2049,0.1375
p60,2050,0.1375
p61,2025,0.1375
p61,2026,0.1375
p61,2027,0.1375
p61,2028,0.1375
p61,2029,0.1375
p61,2030,0.1375
p61,2031,0.1375
p61,2032,0.1375
p61,2033,0.1375
p61,2034,0.1375
p61,2035,0.1375
p61,2036,0.1375
p61,2037,0.1375
p61,2038,0.1375
p61,2039,0.1375
p61,2040,0.1375
p61,2041,0.1375
p61,2042,0.1375
p61,2043,0.1375
p61,2044,0.1375
p61,2045,0.1375
p61,2046,0.1375
p61,2047,0.1375
p61,2048,0.1375
p61,2049,0.1375
p61,2050,0.1375
p62,2025,0.1375
p62,2026,0.1375
p62,2027,0.1375
p62,2028,0.1375
p62,2029,0.1375
p62,2030,0.1375
p62,2031,0.1375
p62,2032,0.1375
p62,2033,0.1375
p62,2034,0.1375
p62,2035,0.1375
p62,2036,0.1375
p62,2037,0.1375
p62,2038,0.1375
p62,2039,0.1375
p62,2040,0.1375
p62,2041,0.1375
p62,2042,0.1375
p62,2043,0.1375
p62,2044,0.1375
p62,2045,0.1375
p62,2046,0.1375
p62,2047,0.1375
p62,2048,0.1375
p62,2049,0.1375
p62,2050,0.1375
p63,2025,0.1375
p63,2026,0.1375
p63,2027,0.1375
p63,2028,0.1375
p63,2029,0.1375
p63,2030,0.1375
p63,2031,0.1375
p63,2032,0.1375
p63,2033,0.1375
p63,2034,0.1375
p63,2035,0.1375
p63,2036,0.1375
p63,2037,0.1375
p63,2038,0.1375
p63,2039,0.1375
p63,2040,0.1375
p63,2041,0.1375
p63,2042,0.1375
p63,2043,0.1375
p63,2044,0.1375
p63,2045,0.1375
p63,2046,0.1375
p63,2047,0.1375
p63,2048,0.1375
p63,2049,0.1375
p63,2050,0.1375
p64,2025,0.1375
p64,2026,0.1375
p64,2027,0.1375
p64,2028,0.1375
p64,2029,0.1375
p64,2030,0.1375
p64,2031,0.1375
p64,2032,0.1375
p64,2033,0.1375
p64,2034,0.1375
p64,2035,0.1375
p64,2036,0.1375
p64,2037,0.1375
p64,2038,0.1375
p64,2039,0.1375
p64,2040,0.1375
p64,2041,0.1375
p64,2042,0.1375
p64,2043,0.1375
p64,2044,0.1375
p64,2045,0.1375
p64,2046,0.1375
p64,2047,0.1375
p64,2048,0.1375
p64,2049,0.1375
p64,2050,0.1375
p65,2025,0.1375
p65,2026,0.1375
p65,2027,0.1375
p65,2028,0.1375
p65,2029,0.1375
p65,2030,0.1375
p65,2031,0.1375
p65,2032,0.1375
p65,2033,0.1375
p65,2034,0.1375
p65,2035,0.1375
p65,2036,0.1375
p65,2037,0.1375
p65,2038,0.1375
p65,2039,0.1375
p65,2040,0.1375
p65,2041,0.1375
p65,2042,0.1375
p65,2043,0.1375
p65,2044,0.1375
p65,2045,0.1375
p65,2046,0.1375
p65,2047,0.1375
p65,2048,0.1375
p65,2049,0.1375
p65,2050,0.1375
p67,2025,0.1375
p67,2026,0.1375
p67,2027,0.1375
p67,2028,0.1375
p67,2029,0.1375
p67,2030,0.1375
p67,2031,0.1375
p67,2032,0.1375
p67,2033,0.1375
p67,2034,0.1375
p67,2035,0.1375
p67,2036,0.1375
p67,2037,0.1375
p67,2038,0.1375
p67,2039,0.1375
p67,2040,0.1375
p67,2041,0.1375
p67,2042,0.1375
p67,2043,0.1375
p67,2044,0.1375
p67,2045,0.1375
p67,2046,0.1375
p67,2047,0.1375
p67,2048,0.1375
p67,2049,0.1375
p67,2050,0.1375
