data_year,basis_year,cap_recovery_years,cost_case,financial_case,technology,tech_detail,parameter,parameter_value,units,dollar_year
2023,2021,20,Moderate,Market,LandbasedWind,*,wacc_real,0.0478678273722764,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class1,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class1,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class10,capex_mw,1961000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class10,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class2,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class2,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class3,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class3,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class4,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class4,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class5,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class5,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class6,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class6,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class7,capex_mw,1363000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class7,fixed_o_m_mw,30300.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class8,capex_mw,1489000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class8,fixed_o_m_mw,28500.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class9,capex_mw,1416000.0,,2021
2023,2021,20,Moderate,Market,LandbasedWind,Class9,fixed_o_m_mw,38400.0,,2021
2023,2021,20,Moderate,Market,NaturalGas,*,wacc_real,0.0528012452573208,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC,capex_mw,1247534.84316248,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC,fixed_o_m_mw,31100.0,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC,heat_rate,6.363,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC,variable_o_m_mwh,1.96,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 95% CCS,capex_mw,2661236.32120337,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 95% CCS,fixed_o_m_mw,63700.0,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 95% CCS,heat_rate,7.22,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 95% CCS,variable_o_m_mwh,4.63,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 97% CCS,capex_mw,2701911.94668806,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 97% CCS,fixed_o_m_mw,64600.0,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 97% CCS,heat_rate,7.26,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CC 97% CCS,variable_o_m_mwh,4.71,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CT,capex_mw,1120367.64041087,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CT,fixed_o_m_mw,24000.0,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CT,heat_rate,9.717,,2021
2023,2021,20,Moderate,Market,NaturalGas,F-Frame CT,variable_o_m_mwh,6.44,,2021
