cpa_id,region,capacity_mw,cf,lcoe,interconnect_annuity,interconnect_capex_mw,resource_annuity,resource_fom
p60_solar_g01,p60,23233.142148,0.29468455141938027,25.403543681763892,3024.5775603253633,63550.22288353954,47331.75399999999,15221.571000000002
p60_solar_g02,p60,23159.446536,0.29437252679256604,25.99060742517197,4468.79517875982,93895.07206848417,47331.754,15221.571
p60_solar_g03,p60,23317.165118999998,0.2949130502274389,26.395756767762837,5638.5501800574675,118473.11320978908,47331.75400000001,15221.571000000002
p60_solar_g04,p60,23245.9480908,0.2939728100548504,26.77587807522753,6399.446326390872,134460.50943684537,47331.75399999999,15221.570999999998
p60_solar_g05,p60,23307.194165,0.2931706551316953,27.258615368953006,7451.519366644596,156565.90127842582,47331.754,15221.570999999998
p60_solar_g06,p60,23211.772071,0.29239742243246525,28.04290512334067,9273.77534392044,194853.81823439716,47331.75400000001,15221.571000000002
p60_solar_g07,p60,23253.2254924,0.2898276235119626,29.49608804577495,12331.806450444488,259106.94282372497,47331.754,15221.571000000002
p60_solar_g08,p60,23273.820244,0.28877359837671196,30.985477082727055,15829.22506772553,332592.15829966194,47331.75399999999,15221.571000000002
p60_solar_g09,p60,23313.858263000002,0.28796226923199186,31.53268669120817,17031.553221713573,357854.6077283047,47289.35800652052,15221.571
p60_solar_g10,p60,23333.846615000002,0.2871341622858364,32.199181944109625,18609.794494328115,391015.46639730904,47156.22239153332,15221.570999999996
p61_solar_g01,p61,66907.02161160001,0.2879354672947609,26.482706295470724,4246.3031027237475,89220.23054405783,47331.753999999986,15221.570999999996
p61_solar_g02,p61,66924.550098,0.28854785744223516,27.438674307239744,6803.026265717739,142940.23718141404,47331.753999999986,15221.570999999998
p61_solar_g03,p61,66962.48437,0.2881131633402263,28.204434740907146,8629.942268705221,181326.06616905815,47331.75399999999,15221.570999999998
p61_solar_g04,p61,66996.416964,0.2860836324630138,29.033049820340842,10205.272062217688,214425.74995599154,47331.754,15221.570999999998
p61_solar_g05,p61,66985.0057981,0.28502950472161426,29.810511639607363,11879.318683997164,249599.59902139098,47331.75400000001,15221.570999999998
p61_solar_g06,p61,66880.645517,0.2849249450226956,30.506726132019526,13589.452524024906,285531.6868622592,47331.754,15221.571
p61_solar_g07,p61,67020.1420235,0.28439977448427145,31.152028675166044,15056.094039714526,316347.69108083966,47331.754000000015,15221.571000000002
p61_solar_g08,p61,67000.902773,0.28303348858032634,31.8288646812479,16362.164536909226,343789.8940574649,47331.754,15221.571
p61_solar_g09,p61,66869.2147982,0.2858904901015221,32.81247303365207,19630.245929282217,412456.4403945273,47331.754,15221.571
p61_solar_g10,p61,67103.665426,0.29402032573370923,34.69244954227225,26820.31329127916,563528.90181267,47331.75399999999,15221.571
p62_solar_g01,p62,60669.226435000004,0.3006859716177425,25.236584116346773,3966.432586687412,83339.79483148777,47285.41739974014,15221.570999999998
p62_solar_g02,p62,60717.205509,0.30165445894834053,26.110873607197718,6758.031122165282,141994.83153781857,47018.85605137381,15221.570999999998
p62_solar_g03,p62,60839.5972873,0.3024271142191615,26.751188180728533,8664.902934729838,182060.63471382583,46985.07865350621,15221.570999999998
p62_solar_g04,p62,60691.342689,0.30122552146657444,27.50621044315849,10174.29804686906,213774.94716365344,47182.98412344451,15221.571
p62_solar_g05,p62,60758.538646,0.2993148251344021,28.417391470061123,12000.11612435627,252137.70772957572,47288.74925234109,15221.570999999998
p62_solar_g06,p62,60732.799612999996,0.2999590862879611,29.23674508476022,14279.763325419402,300035.9959918255,47323.11888447845,15221.571000000002
p62_solar_g07,p62,60743.066626,0.30098138431592614,29.931952529451582,16365.357730102976,343856.9872170272,47331.754,15221.570999999998
p62_solar_g08,p62,60762.711129,0.30211386021101255,30.56509942929358,18338.855913819272,385322.69419343467,47331.754,15221.570999999998
p62_solar_g09,p62,60769.52637400001,0.2998620788684416,31.478658658833723,20130.954749215394,422976.96930511214,47331.753999999986,15221.571
p62_solar_g10,p62,60776.543237000005,0.29859447437858927,33.2491850651941,24390.394233238934,512474.4840184949,47331.754,15221.570999999998
p63_solar_g01,p63,65817.48462909998,0.2742939742404546,27.983327397291752,4685.705953357346,98452.6435529965,47331.72116154579,15221.571000000004
p63_solar_g02,p63,65767.885199,0.2750362989677131,29.22440371181431,7866.255479876381,165280.03576009185,47323.90176943632,15221.571000000002
p63_solar_g03,p63,65921.98363500001,0.2757212099584015,29.903143789617584,9689.526531536489,203589.28033963204,47314.754264289906,15221.570999999996
p63_solar_g04,p63,65896.8151754,0.2766049795979597,30.451074623220503,11299.59359271469,237418.83737739697,47264.23270482484,15221.571
p63_solar_g05,p63,65759.49768649999,0.27654396198713527,30.94282843004237,12487.284485421887,262373.7338421004,47250.9921615208,15221.571
p63_solar_g06,p63,65877.88419069999,0.2763550579202503,31.407118341516576,13635.716415797722,286503.7491801268,47174.89693664132,15221.571000000004
p63_solar_g07,p63,65925.05953259999,0.27669796594428836,31.83263769939277,14805.712390842758,311086.85384042904,47131.67428510662,15221.571000000002
p63_solar_g08,p63,65819.3166385,0.27524333552149843,32.35523088377682,15682.214347229561,329503.2750643881,47106.7905236652,15221.571000000004
p63_solar_g09,p63,65810.9061037,0.26931607569660687,33.40977153893588,16672.97098236489,350320.3320328984,46915.47717371892,15221.570999999998
p63_solar_g10,p63,65945.5366844,0.2642482689569151,35.743193661347966,20920.834427031095,439573.2766914707,46591.43487631098,15221.571000000002
p64_solar_g01,p64,40269.8106101,0.2674870455719068,28.59880641863191,4459.425866736334,93698.21112118731,47331.75399999999,15221.571000000002
p64_solar_g02,p64,40153.7535986,0.2672738055454805,29.866922323110888,7374.51349133796,154947.9098935509,47331.754,15221.570999999998
p64_solar_g03,p64,40337.7994518,0.2680063070094451,30.696543613805574,9514.517445033494,199912.11752938989,47331.754,15221.571
p64_solar_g04,p64,40303.8918041,0.2693631945350891,31.362253984053254,11450.714468599404,240594.07872914642,47331.75400000001,15221.571
p64_solar_g05,p64,40190.213262100006,0.27058417317353234,31.8967306178437,13052.090548773456,274241.02879893756,47331.75399999999,15221.570999999996
p64_solar_g06,p64,40325.467102999995,0.27221635348116197,32.44677682877753,14820.501376529455,311397.5893471547,47331.754,15221.571000000004
p64_solar_g07,p64,40214.1603787,0.26547609709417236,33.681026939995824,15769.787930789165,331343.30669667845,47331.754,15221.571
p64_solar_g08,p64,40261.597345999995,0.2667668063395107,35.24171518229332,19803.19484576764,416090.32392345904,47331.754,15221.571000000002
p64_solar_g09,p64,40309.994479,0.2663183396769106,36.12592806632017,21726.32529763113,456497.7427083176,47331.754,15221.571
p64_solar_g10,p64,40359.926844999995,0.2645327919570675,37.30317411350234,23891.993750934445,502001.1948165605,47331.75400000001,15221.571000000004
p65_solar_g01,p65,62094.000096300006,0.26649858925193204,29.63651242551947,6636.829316139244,139448.22705660932,47331.75399999999,15221.570999999998
p65_solar_g02,p65,62083.1936573,0.2677188528872223,30.944320500025228,10018.73138259293,210506.29192962896,47331.75400000001,15221.571
p65_solar_g03,p65,62014.365089700004,0.2688989593203777,31.709918121812432,12141.573480375244,255109.90646499282,47331.75399999999,15221.571
p65_solar_g04,p65,62082.3014817,0.26920321825324717,32.42061114380127,13901.599490633336,292090.2910925987,47331.754,15221.570999999998
p65_solar_g05,p65,62092.8968838,0.2695005774703503,33.0170376839447,15393.822925610086,323443.8051209732,47331.754,15221.571
p65_solar_g06,p65,62197.141735,0.2696560191288925,33.571998256003404,16750.126303932622,351941.4642833934,47331.754,15221.571
p65_solar_g07,p65,62091.0995458,0.26930477899146826,34.12930140569587,17961.41648036762,377392.2123407011,47331.754,15221.570999999998
p65_solar_g08,p65,62079.32575619999,0.26801852811508925,34.839715648209925,19242.836989465068,404316.48655606253,47331.75400000001,15221.571000000002
