cpa_id,profile_id
p60_wind_g01,p60_wind_g01
p60_wind_g02,p60_wind_g02
p60_wind_g03,p60_wind_g03
p60_wind_g04,p60_wind_g04
p60_wind_g05,p60_wind_g05
p60_wind_g06,p60_wind_g06
p60_wind_g07,p60_wind_g07
p60_wind_g08,p60_wind_g08
p60_wind_g09,p60_wind_g09
p60_wind_g10,p60_wind_g10
p61_wind_g01,p61_wind_g01
p61_wind_g02,p61_wind_g02
p61_wind_g03,p61_wind_g03
p61_wind_g04,p61_wind_g04
p61_wind_g05,p61_wind_g05
p61_wind_g06,p61_wind_g06
p61_wind_g07,p61_wind_g07
p61_wind_g08,p61_wind_g08
p61_wind_g09,p61_wind_g09
p61_wind_g10,p61_wind_g10
p62_wind_g01,p62_wind_g01
p62_wind_g02,p62_wind_g02
p62_wind_g03,p62_wind_g03
p62_wind_g04,p62_wind_g04
p62_wind_g05,p62_wind_g05
p62_wind_g06,p62_wind_g06
p62_wind_g07,p62_wind_g07
p62_wind_g08,p62_wind_g08
p62_wind_g09,p62_wind_g09
p62_wind_g10,p62_wind_g10
p63_wind_g01,p63_wind_g01
p63_wind_g02,p63_wind_g02
p63_wind_g03,p63_wind_g03
p63_wind_g04,p63_wind_g04
p63_wind_g05,p63_wind_g05
p63_wind_g06,p63_wind_g06
p63_wind_g07,p63_wind_g07
p63_wind_g08,p63_wind_g08
p63_wind_g09,p63_wind_g09
p63_wind_g10,p63_wind_g10
p64_wind_g01,p64_wind_g01
p64_wind_g02,p64_wind_g02
p64_wind_g03,p64_wind_g03
p64_wind_g04,p64_wind_g04
p64_wind_g05,p64_wind_g05
p64_wind_g06,p64_wind_g06
p64_wind_g07,p64_wind_g07
p64_wind_g08,p64_wind_g08
p64_wind_g09,p64_wind_g09
p64_wind_g10,p64_wind_g10
p65_wind_g01,p65_wind_g01
p65_wind_g02,p65_wind_g02
p65_wind_g03,p65_wind_g03
p65_wind_g04,p65_wind_g04
p65_wind_g05,p65_wind_g05
p65_wind_g06,p65_wind_g06
p65_wind_g07,p65_wind_g07
p65_wind_g08,p65_wind_g08
p65_wind_g09,p65_wind_g09
p65_wind_g10,p65_wind_g10
p67_wind_g01,p67_wind_g01
p67_wind_g02,p67_wind_g02
p67_wind_g03,p67_wind_g03
p67_wind_g04,p67_wind_g04
p67_wind_g05,p67_wind_g05
p67_wind_g06,p67_wind_g06
p67_wind_g07,p67_wind_g07
p67_wind_g08,p67_wind_g08
p67_wind_g09,p67_wind_g09
p67_wind_g10,p67_wind_g10
