cpa_id,profile_id
p60_solar_g01,p60_solar_g01
p60_solar_g02,p60_solar_g02
p60_solar_g03,p60_solar_g03
p60_solar_g04,p60_solar_g04
p60_solar_g05,p60_solar_g05
p60_solar_g06,p60_solar_g06
p60_solar_g07,p60_solar_g07
p60_solar_g08,p60_solar_g08
p60_solar_g09,p60_solar_g09
p60_solar_g10,p60_solar_g10
p61_solar_g01,p61_solar_g01
p61_solar_g02,p61_solar_g02
p61_solar_g03,p61_solar_g03
p61_solar_g04,p61_solar_g04
p61_solar_g05,p61_solar_g05
p61_solar_g06,p61_solar_g06
p61_solar_g07,p61_solar_g07
p61_solar_g08,p61_solar_g08
p61_solar_g09,p61_solar_g09
p61_solar_g10,p61_solar_g10
p62_solar_g01,p62_solar_g01
p62_solar_g02,p62_solar_g02
p62_solar_g03,p62_solar_g03
p62_solar_g04,p62_solar_g04
p62_solar_g05,p62_solar_g05
p62_solar_g06,p62_solar_g06
p62_solar_g07,p62_solar_g07
p62_solar_g08,p62_solar_g08
p62_solar_g09,p62_solar_g09
p62_solar_g10,p62_solar_g10
p63_solar_g01,p63_solar_g01
p63_solar_g02,p63_solar_g02
p63_solar_g03,p63_solar_g03
p63_solar_g04,p63_solar_g04
p63_solar_g05,p63_solar_g05
p63_solar_g06,p63_solar_g06
p63_solar_g07,p63_solar_g07
p63_solar_g08,p63_solar_g08
p63_solar_g09,p63_solar_g09
p63_solar_g10,p63_solar_g10
p64_solar_g01,p64_solar_g01
p64_solar_g02,p64_solar_g02
p64_solar_g03,p64_solar_g03
p64_solar_g04,p64_solar_g04
p64_solar_g05,p64_solar_g05
p64_solar_g06,p64_solar_g06
p64_solar_g07,p64_solar_g07
p64_solar_g08,p64_solar_g08
p64_solar_g09,p64_solar_g09
p64_solar_g10,p64_solar_g10
p65_solar_g01,p65_solar_g01
p65_solar_g02,p65_solar_g02
p65_solar_g03,p65_solar_g03
p65_solar_g04,p65_solar_g04
p65_solar_g05,p65_solar_g05
p65_solar_g06,p65_solar_g06
p65_solar_g07,p65_solar_g07
p65_solar_g08,p65_solar_g08
p65_solar_g09,p65_solar_g09
p65_solar_g10,p65_solar_g10
p67_solar_g01,p67_solar_g01
p67_solar_g02,p67_solar_g02
p67_solar_g03,p67_solar_g03
p67_solar_g04,p67_solar_g04
p67_solar_g05,p67_solar_g05
p67_solar_g06,p67_solar_g06
p67_solar_g07,p67_solar_g07
p67_solar_g08,p67_solar_g08
p67_solar_g09,p67_solar_g09
p67_solar_g10,p67_solar_g10
